# minor-bronze-protector · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: Brązowy Obrońca
# nav_label: Brązowy Obrońca
# description: Brązowy Obrońca (Bronze Protector), mniejsze arkanum ze Stonetop: metalowy człowiek z piecykiem w piersi, ożywiany przez ducha twojego ogniska.
PAGE	533
H3	Metalowy człowiek
P	<i>magiczny</i>, <i>kruchy</i>
P	Posąg z brązu, choć właściwie nie posąg, raczej kawałki zbroi sprytnie połączone wokół szkieletu ze splecionych rur. A „pierś” to nie tyle napierśnik, co mały, brzuchaty piecyk. Pod patyną ledwie widać misterne runy.
P	Jest powgniatany, popękany i rozerwany na części, ale staranne poszukiwania pozwolą odnaleźć wszystkie kawałki.
P	To z pewnością nie zwykły posąg, ale by odkryć jego tajemnice, musisz…
C	… naprawić ciało, co <i>wyjątkowemu</i> kowalowi zajmie całą porę roku (Wartość 3).
C	… spędzić kilka tygodni na naprawianiu run, ryzykując błąd, który uczyni je nieskutecznymi lub niestabilnymi.
C	… przekonać ducha własnego ogniska, by zamieszkał w piecyku i ożywił konstrukt.
H3	Brązowy Obrońca
P	Gotowość: ◇◇◇◇
P	Dopóki <b><i>w piersi przypominającej piecyk płonie ogień</i></b>, duch ogniska ożywia konstrukt. Traktuj go jak stronnika.
ICON	icons/construct.svg
H3	Brązowy obrońca
P	<i>Konstrukt, duch, wytrzymały, czujny,</i> <i>apodyktyczny, niemy, łatwowierny</i>
P	<b>HP</b> 13; <b>Pancerz</b> 3 (metal)
P	<b>Obrażenia</b> okładanie pięściami 1d8 (<i>ręka</i>)
P	<b>Cechy szczególne</b> ognioodporny; przy 7+ na Bronić zyskuje +1 Gotowości; do odzyskania HP potrzebuje kuźni i narzędzi <b>Instynkt</b> przesadnie gorliwie cię strzec
P	• Groźnie górować, buchając dymem
P	• Wzniecać pożary, powodować szkody uboczne
P	• Kończy mu się opał
P	<b>Cena</b> wylewna wdzięczność (Lojalność: ◇◇◇ )
P	<b>HP</b>
P	Zaczyna z 13
