# minor-nerth-serpents-vigor · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 60c85c852075bce9d9a4c7bc86edf064a5d2d9cd0f93099ba53bfb54b15d94e4
# title: Wigor Węża Nerth
# nav_label: Wigor Węża Nerth
# description: Wigor Węża Nerth (Nerth Serpent's Vigor), mniejsze arkanum ze Stonetop: ścieżka przez Wielką Puszczę do Drzewa Nerth i żywotność zjedzonego serca węża.
PAGE	516
H3	Ścieżka w lesie
P	W głębi Wielkiej Puszczy (Great Wood) stoi kamień z prymitywnymi piktogramami Ludu Lasu (Forest Folk), ukazującymi szlak pełen prób, wiodący do wielkiej mocy.
P	Jeśli <b><i>wyruszysz tym szlakiem w przesilenie letnie,</i></b> możesz odkryć jego tajemnice, ale musisz...
C	… podążać krętymi ścieżkami w milczeniu, dopóki nie wypatrzysz Białego Jelenia.
C	… gonić Jelenia wiele, wiele kilometrów, dopóki nie zaprowadzi cię do Drzewa Nerth.
C	… zmierzyć się z dziwnym wężem, który mieszka na drzewie (<i>Księga II</i>, str. 371), wydusić z niego życie i zjeść jego jeszcze ciepłe serce.
P	Jeśli w dane przesilenie letnie ścieżką podąży kilka osób, tylko jedna z nich może dotrzeć do Drzewa Nerth.
H3	Wigor Węża Nerth
P	Żywotność: ◇◇◇
P	Gdy <b><i>wyduszasz życie z Węża Nerth</i></b> <b><i>i pożerasz jego jeszcze ciepłe serce</i></b>, zyskujesz zapas 3 Żywotności.
P	Dopóki masz Żywotność w zapasie, starzejesz się bardzo powoli.
P	Wydawaj Żywotność 1 za 1, by:
B	Otrząsnąć się z trucizny, choroby lub klątwy
B	Przeżyć śmiertelną ranę lub uraz
B	W pełni wyleczyć się z trwałego urazu lub upośledzenia (po kilku dniach odpoczynku)
B	Dokonać wyczynu niezwykłej siły, sprawności lub wytrzymałości
P	Za każdym razem, gdy wydajesz Żywotność, pojawia się na tobie trwały znak dziczy (poroże, skóra podobna do zwierzęcej, zwierzęce oczy itp.) albo taki znak staje się wyraźniejszy. Powiedz nam, co to jest.
