# minor-witch-bottle · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 0a755a37d2a63ad9f22cec31ed926311d84c439d53ce30f00859b0c7d16d609c
# title: Bouteille de sorcière
# nav_label: Bouteille de sorcière
# description: Arcane mineur : une bouteille de verre qui, nourrie de cheveux brûlés, donne de l'Emprise pour tourmenter quelqu'un à distance.
PAGE	529
H3	Une bouteille de verre argenté
P	◇, <i>fragile</i>, <i>magique</i>
P	Haute d'environ 25 centimètres, effilée vers le haut, faite d'un vieux verre déformé traversé de traînées argentées, comme les traces que laissent les limaces. Les motifs dans le verre semblent différents à chaque regard, changeant presque sous tes yeux. Cela te fait venir les larmes aux yeux et tourner la tête.
P	Tu peux percer les secrets de cette vieille bouteille de verre, mais tu dois soit…
C	… trouver quelqu'un qui en connaît le fonctionnement, et le convaincre de te l'enseigner ; soit…
C	… remplir la bouteille d'eau de source et de champignons hallucinogènes, et la laisser infuser dans l'obscurité pendant une quinzaine de jours.
C	… boire le contenu et risquer de ne rien apprendre tout en endurant la maladie et les cauchemars.
H3	Bouteille de sorcière
P	Emprise ◇◇◇
P	Quand tu <b><i>noues des mèches de cheveux de quelqu'un autour</i></b> <b><i>d'un objet qu'il a fabriqué ou possédé, y mets le feu,</i></b> <b><i>et les laisses tomber encore brûlants dans la bouteille vide,</i></b> détiens 3 Emprise sur lui. Les braises continuent de brûler et de luire jusqu'à ce que l'Emprise disparaisse. Dépense 1 Emprise en prononçant son vrai nom pour…
B	Fausser ses sens, lui faisant percevoir quelque chose de faux
B	Le tourmenter de cauchemars jusqu'à ce qu'il se lave dans la pluie ou la neige
B	Faire gonfler une émotion dans son cœur, au risque de le submerger
P	Si la personne sur qui tu détiens actuellement de l'Emprise trouve et brise la Bouteille de sorcière, tu subiras toi-même tous les tourments que tu as jamais infligés avec elle.
P	44
