# minor-old-mothers-wine · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 2a1fb6bb8a668b001934fcc1a2ed1b87ae5aeb910ca76991fe2a3012dab29ad3
# title: 老母のワイン
# nav_label: 老母のワイン
# description: フェイの魔法に満ちたニワトコのワインの製法を記した小さな本、小アルカナム（Old Mother's Wine）。
PAGE	509
H3	小さく奇妙な本
P	<i>壊れやすい</i>
P	しなやかな葉を紙葉にしたらしい小さな手引書。一般の文字で書かれているが、意味をなさない音節が奇妙に詩的な並びで綴られている。
P	この手引書はフェイ（Fae）の魔法に満ちたニワトコのワインの製法を明かしている。だがその製法を学ぶには、あなたは……
C	……フェイの詩人か、あるいは森の民（Forest Folk）の誰かの助けを必要とするか、あるいは……
C	……製法を誤り、醸したワインを飲む者に毒を盛ったり呪いをかけたりする危険を冒す。
H3	老母のワイン
P	失われた記憶：◇◇◇◇◇◇
P	<b><i>実のたわわに生ったニワトコの</i></b><b><i>木に記憶をひとつ捧げた</i></b>とき、何を手放したかを語る。失われた記憶を1マークし、1d6をロールする。出目が失われた記憶より小さければ、本能を変え、マークをすべて消す。
P	<b><i>その実を収穫し、ひと季節かけて</i></b><b><i>ワインを造った</i></b>とき、老母のワインの革袋ひとつ（使用5、魔法）を得る。
P	<b><i>老母のワインでほろ酔いになった</i></b>とき、使用を1消費する。一昼夜の間、あなたの目はフェイの魔法に対して開かれる。すなわち：
B	フェイの幻影や魅惑の裏にある真実が見える
B	フェイの魔法の魅了に対して免疫を持つ
B	フェイの領域に自由に入り、フェイの小道を歩くことができる
B	フェイの領域にいる間も、あなたにとって時間は普通に流れる
