# minor-horn-of-storms · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 9bf1be51f0e509e32c9e0455add3e1a9f8143d89beafa92f9249e7bb22b4f6b1
# title: O Chifre das Tempestades
# nav_label: O Chifre das Tempestades
# description: O Chifre das Tempestades (Horn of Storms), arcano menor de Stonetop: um chifre de beber que, esvaziado de um gole só, convoca uma tempestade sobre a sua cabeça.
PAGE	535
H3	Um belo chifre de beber
P	◇, <i>bela, mágica</i>
P	Você o conseguiu com um estranho. Talvez numa aposta, ou numa disputa, ou como presente em troca de alguma gentileza. Ou será que o tomou sem o consentimento dele? De todo modo, ele pareceu meio esquivo quanto ao chifre, quase contente de deixá-lo com você. E pouco antes de vocês se separarem, você notou o dedo que faltava na mão esquerda dele.
P	Desde então, o chifre parece chamá-lo, desafiando-o a beber dele com sofreguidão. Para desvendar seus mistérios, você precisa...
C	… enchê-lo de uísque ou de uma bebida igualmente forte.
C	… beber o conteúdo de um gole só (marque <i>atordoado</i>).
C	… arriscar apagar, agir feito tolo ou, no mínimo, marcar mais debilidades.
C	… sobreviver à tempestade que você invoca como consequência (veja o verso).
H3	O Chifre das Tempestades
P	Quando você <b><i>fica bem bêbado bebendo do</i></b> <b><i>chifre,</i></b> marque uma debilidade. Você invoca uma tempestade centrada no lugar onde está. Role quatro d4. Para cada debilidade adicional que marcar, role um d4 extra.
P	<b><i>Até a tempestade passar</i></b>, você não pode limpar debilidades.
P	Atribua um d4 a cada um dos seguintes:
P	____ <b>Início: 1</b> = no dia seguinte; <b>2-3</b> = em algumas horas; <b>4</b> = dentro de uma hora.
P	____ <b>Intensidade: 1</b> = perigoso ficar ao relento;
P	<b>2-3</b> = danifica estruturas frágeis; <b>4</b> = arrasa estruturas frágeis e danifica as robustas.
P	____ <b>Alcance: 1</b> = um quilômetro e meio, mais ou menos; <b>2-3</b> = uns vinte quilômetros; <b>4</b> = dezenas ou centenas de quilômetros.
P	____ <b>Duração</b> (depois que engrena)<b>: 1</b> = menos de uma hora; <b>2-3</b> = algumas horas; <b>4</b> = um dia, mais ou menos.
P	56
