# minor-truth-seeds · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 5c4a114b0bde74f74d690285f35879935fa534fa09f81b224b889b72a14dcc38
# title: Wahrheitssamen
# nav_label: Wahrheitssamen
# description: Wahrheitssamen (Truth Seeds), ein kleines Arkanum aus Stonetop: verzauberte Gwirnessel-Samenkapseln, die, gemeinsam gegessen, dafür sorgen, dass Versprechen gehalten werden.
PAGE	508
H3	Ein Volksmärchen
P	Es gibt da diese alte Geschichte über eine alte Kräuterfrau aus Marschrand (Marshedge), die einen Fenntroll dazu bringt, eine verzauberte Samenkapsel zu essen. Sie verspricht, dem Troll mehr Essen zu holen, wenn er verspricht, sie danach gehen zu lassen. Natürlich bricht der Troll sein Wort und versucht, sie zu fressen, doch da platzt die Samenkapsel zu einem Gewirr aus Gwirnesseln auf.
P	Du kannst das Geheimnis der verzauberten Samenkapseln lernen, brauchst dazu aber eines der Folgenden:
C	Eine kundige Kräuterfrau aus Marschrand, die dich das Ritual lehrt
C	Den Geist einer Gwirnessel, freundlich oder gebunden, der die Geheimnisse ihrer Entstehung verrät
H3	Wahrheitssamen
P	Wenn du <b><i>zwei Gwirnessel-Samenkapseln in</i></b> <b><i>deinem eigenen Blut einweichst, Geheimnisse über ihnen flüsterst und</i></b> <b><i>die Worte der Macht sprichst</i></b>, werden sie zu Wahrheitssamen
P	(<i>magisch)</i>.
P	Wenn du und ein anderer <b><i>je einen Wahrheitssamen esst und</i></b> <b><i>einander Versprechen gebt</i></b>, bleiben die Samen in euren Eingeweiden und sorgen dafür, dass die Versprechen gehalten werden.
P	Wenn du <b><i>dein Versprechen brichst</i></b>, treibt der Wahrheitssamen in deinen Eingeweiden heftig zu einer ausgewachsenen Gwirnessel aus, die 1d10+3 Schaden mit Vorteil verursacht (<i>blutig</i>, ignoriert Rüstung), und nun wächst eine Gwirnessel aus dir heraus.
P	Wenn <b><i>die andere Partei ihr Versprechen bricht</i></b>, ereilt sie dasselbe Schicksal.
P	2
