# minor-chimeric-transmogrification · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: f6c0e221926acc7e9308ae5981a57388e7a965164b800d2e52ef536405c577f2
# title: A Transmutação Quimérica
# nav_label: A Transmutação Quimérica
# description: A Transmutação Quimérica (Chimeric Transmogrification), arcano menor de Stonetop: um velino dos Senhores Verdes com o feitiço que dá a uma criatura os traços de outra fera.
PAGE	521
H3	Um velino esticado
P	◇◇, <i>frágil</i>
P	Esticado numa moldura de madeira, este velho velino está repleto dos glifos intrincados e sinuosos dos Senhores Verdes. Os desenhos mostram criaturas mudando para ganhar traços de outras feras. Parece ser a base de algum tipo de feitiço.
P	Para desvendar seus mistérios e aprender o feitiço, você precisa…
C	… decifrar os glifos dos Senhores Verdes.
C	… passar algumas semanas estudando-os e ponderando sobre eles.
C	… fazer experiências com uma fera de tamanho pelo menos <i>pequeno</i>, como uma cabra, um porco ou um cão. Você corre o risco de matar, aleijar ou mutilar horrivelmente a fera, e talvez enlouquecê-la.
H3	A Transmutação Quimérica
P	Quando você <b><i>ergue um pedaço de uma fera (pelo, osso</i></b> <b><i>etc.) e pronuncia as palavras da transmutação quimérica sobre outra</i></b>, role +INT: <b>com 10+</b>, o feitiço funciona; <b>com 7-9</b>, o feitiço funciona, mas só se você marcar uma debilidade.
P	Quando <b><i>o feitiço funciona</i></b>, role 1d10+CON. Se o resultado <b>igualar ou superar os HP atuais do alvo</b>, nomeie uma característica da fera que você segura — a forma do alvo se retorce e se deforma, ganhando essa característica até ele dormir por algumas horas. A experiência é desorientadora e alarmante; a maioria das feras e das pessoas entra em pânico. Se o resultado for <b>menor que os HP atuais</b> <b>do alvo</b>, a forma dele se retorce e se deforma de modo alarmante por alguns segundos, mas ele resiste à transformação. <b>De todo modo</b>, o pedaço da fera que você segura se perde, murchando até não sobrar nada.
