# minor-little-friend · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 963540651b9069effa3df1ed142b9cabdf3c50bce714dc67b0e7907f4cfc148a
# title: Mały Przyjaciel
# nav_label: Mały Przyjaciel
# description: Mały Przyjaciel (Little Friend): mniejsze arkanum – zwój Władców Szronu, z którego medytacji rodzi się tulpa, drobny duch-konstrukt służący jako stronnik.
PAGE	527
H3	Piękny zwój
P	◇, <i>piękny</i>, <i>kruchy</i>
P	W futerale z rzeźbionej kości słoniowej spoczywa zwój z delikatnej, niemal zwiewnej wełny. Jest pełen glifów i diagramów, odciśniętych nasyconymi barwnikami czerwieni, czerni i żółci. Diagramy zdają się przedstawiać jakąś praktykę medytacyjną, której owocem jest jakiś chowaniec-duch?
P	Aby odkryć tajemnice tego zwoju, musisz…
C	… mieć jakiś talent do magii.
C	… odcyfrować glify Władców Szronu.
C	… spędzić kilka miesięcy na ćwiczeniu opisanych w nim technik medytacyjnych.
C	… opisać i nazwać drobnego ducha-konstrukt, którego chcesz stworzyć:
C	… trwale poświęcić 2 HP, by tchnąć w tulpę „życie”.
H3	Mały Przyjaciel
P	Stworzyłeś tulpę, którą traktujesz jak stronnika. Wybierz 2 dodatkowe tagi, instynkt, 2 dodatkowe ruchy i jego cenę.
ICON	icons/arcana.svg
H3	Tulpa
P	<i>Duch, konstrukt, drobny, naiwny, gorliwy</i>
C	<i>zażarty życzliwy chytry płochliwy uparty</i>
P	<b>HP</b> 8; <b>Pancerz</b> 0
P	<b>Obrażenia</b> 1d4 (jeśli w ogóle)
P	<b>Instynkt</b> bawić się uczyć się popisywać się
P	• Przybierz postać z pyłu/śniegu/pary
P	• Wytwórz światło (<i>obszar</i>, <i>zasięg</i>)
P	• Nieś/przestaw przedmiot ◇
P	• Przekaż wiadomość
P	• Szpieguj kogoś/coś
P	<b>Cena</b> okazywany szacunek nowe doświadczenia
C	pocieszenie/współczucie (Lojalność: ◇◇◇ )
P	<b>HP</b>
P	Na początku 8
