# minor-the-eye-opened · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 0e13cd32e023a62ae38aa24b277b9f070ae4f81362a07bbb0531811102862835
# title: O Olho, Aberto
# nav_label: O Olho, Aberto
# description: O Olho, Aberto (The Eye, Opened), arcano menor de Stonetop: uma chave dos Construtores que abre o olho da mente e revela pensamentos, emoções e intenções.
PAGE	519
H3	Uma… chave?
P	<i>mágica</i>, <i>aterrorizante</i>
P	Guardada em algum acervo dos Construtores há uma coisa branca e reluzente, como uma chave, acho, mas não uma chave específica, e sim algo como a <i>ideia</i> de ser chave. Dói olhar direto para ela; faz você ter consciência da própria carne mortal.
P	Não é você que desvenda os mistérios desta chave: é ela que desvenda você. Mas só se você…
C	… dominar o medo e se obrigar a tocá-la.
C	… aguentar firme enquanto ela atormenta sua mente e sua alma, recusando-se a soltá-la.
C	… passar algumas semanas lidando com enxaquecas terríveis e clarões de cor, aprendendo a acalmar e controlar o novo olho da sua mente.
H3	O Olho, Aberto
P	Quando você <b><i>passa alguns minutos meditando em silêncio e abrindo o olho da mente</i></b>, ele aparece na sua testa como um ponto de luz reluzente. A matéria e a energia comuns ficam opacas e sem cor para você, mas você vê mentes e auras em detalhe luminoso.
P	Enquanto <b><i>o olho da sua mente estiver aberto</i></b>, você pode perguntar ao mestre “Que entidades pensantes estão presentes aqui?”
P	e receber uma resposta honesta.
P	Quando você <b><i>Busca Discernimento com o olho da mente</i></b> <b><i>aberto</i></b>, as perguntas que pode fazer passam a ser estas:
B	Está mentindo ou tentando enganar?
B	O que está sentindo de verdade agora?
B	O que pretende fazer?
B	Do que aqui tem mais medo?
B	Alguma coisa controla sua mente, suas emoções ou suas ações e, se sim, o quê?
P	24
