# minor-unliving-chimera · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 0ee8ebf89a532ca42c4593e9ba1456cd185ac3dbb0223592faddbf06bdb681eb
# title: Unlebendige Chimäre
# nav_label: Unlebendige Chimäre
# description: Unlebendige Chimäre (Unliving Chimera), ein kleines Arkanum aus Stonetop: ein rostiger Kessel, in dem Tierknochen und dein Blut zu einer untoten Chimäre werden, die dir als Gefolgsmann dient.
PAGE	524
H3	Ein rostiger Kessel
P	<i>unbeweglich, magisch</i>
P	Groß genug, dass ein Erwachsener hineinkriechen kann, narbig und zerkratzt, mit wirbelnden, runenartigen Mustern graviert. Das ganze Ding ist mit Rost verkrustet. Zumindest hoffst du, dass es Rost ist.
P	Das Ding wirkt unheimlich, und du spürst seine Macht. Um die Geheimnisse des Kessels zu entschlüsseln, musst du …
C	… den Rost gründlich vom Kessel schrubben.
C	… sieben Nächte im Kessel schlafen, üble Träume träumen und jedes Mal eine Schwächung ankreuzen.
C	… die Knochen eines Tieres kochen, das du aufrichtig geliebt oder geschätzt hast, und etwas von deinem frischen Blut untermischen.
C	… das elende Ding, das sich daraus erhebt, unter deine Kontrolle bringen.
H3	Unlebendige Chimäre
P	Wenn du <b><i>Tierknochen im Kessel kochst</i></b> <b><i>und dein eigenes frisches Blut unterrührst,</i></b> kreuze bis zu 3 Schwächungen an. Eine unlebendige Chimäre erhebt sich aus dem Kessel. Behandle sie als Gefolgsmann, mit einem Merkmal für jedes Tier, dessen Knochen du verwendet hast (<i>bärenartig</i>, <i>eulenartig</i> usw.).
P	Wähle für jede angekreuzte Schwächung 1:
B	Sie ist stabil (sonst zerfällt sie nach einem Tag)
B	Sie ist nicht <i>ungelenk</i>
B	Ersetze ihren Instinkt durch „das Licht zu meiden“
ICON	icons/undead.svg
H3	Unlebendige Chimäre
P	<i>Untot, Konstrukt, furchterregend, ungelenk</i>
P	<b>HP</b> 3; <b>Rüstung</b> 4 (0 gegen Bronze)
P	<b>Schaden</b> unterschiedlich d6 (<i>Hand</i>, evtl. weitere)
P	<b>Instinkt</b> in Verwirrung zu geraten und um sich zu schlagen
P	• Etwas tun, das eines ihrer Bestandteil-Tiere tun könnte
P	• Stöhnen, elend und verstörend
P	<b>Preis</b> viel frisches Blut (Loyalität ◇◇◇ )
