# minor-peacebond · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 593033fb6f630dbae6870a3fc6944a32b29de7158f84a23477c3bcf3587ae464
# title: Vínculo de Paz
# nav_label: Vínculo de Paz
# description: Vínculo de Paz (Peacebond), arcano menor de Stonetop: los glifos de una cueva sellada que reprimen la violencia en el lugar que marcas con ellos.
PAGE	519
H3	Una cueva sellada
P	<i>mágico</i>
P	En lo alto de las colinas o las montañas puede encontrarse la boca de una cueva tapiada con ladrillos. Dentro yacen docenas de cadáveres, conservados durante siglos por el frío.
P	Muchos tienen malformaciones en la mandíbula, dientes desmesurados y dedos alargados que se afinan hasta ser garras. Pocos muestran señales de violencia; parece que simplemente se tumbaron y murieron.
P	De hecho, los glifos en espiral tallados por todas las paredes de la cueva minan tus ganas de luchar, de pelear, de hacer casi… nada. Puedes aprender sus misterios, pero…
C	… te llevará días de transcripción cuidadosa, acosado por sombras melancólicas.
C	… te arriesgas a sucumbir al hastío del lugar.
H3	Vínculo de Paz
P	Cuando <b><i>marcas un lugar con los glifos del vínculo</i></b> <b><i>de paz</i></b>, la violencia (incluso en defensa propia) queda reprimida en la zona mientras los glifos permanezcan. Cuanto más tiempo se pasa en una zona con vínculo de paz, y cuanto más densamente entretejidos están los glifos, mayor es el efecto.
P	Cuando <b><i>intentas cometer un acto violento dentro de</i></b>
P	<b><i>una zona con vínculo de paz, o dañar los propios</i></b>
P	<b><i>glifos del vínculo de paz</i></b>, vacilas.
P	Si <b><i>te obligas a continuar</i></b>, pierdes 1d4 HP y tira +WIS: <b>con 10+</b>, adelante; <b>con 7-9</b>, actúas, pero tienes desventaja en cualquier tirada para cometer violencia (incluido el daño); <b>con 6-</b>, no consigues actuar y marcas <i>aturdido</i>.
