# minor-the-six-locks-of-sajua · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: c055199618a593b8fdfd5acd1ca7a0eb0c42c1f3ef26f1a44ef2373d20511ee1
# title: Os Seis Cadeados de Sajua
# nav_label: Os Seis Cadeados de Sajua
# description: Os Seis Cadeados de Sajua (The Six Locks of Sajua), arcano menor de Stonetop: uma corrente de cadeados enferrujados que prendem almas e as obrigam a cumprir promessas.
PAGE	515
H3	Uma corrente de cadeados enferrujados
P	◇, <i>mágica</i>
P	Uma corrente de seis elos, cada elo com um cadeado de bronze corroído. 1d4+1 cadeados trazem um rosto estilizado, congelado numa careta de ferrugem. As chaves destes cadeados se perderam nas eras.
P	Quando você <b><i>segura um dos cadeados com rosto e</i></b> <b><i>olha nos olhos dele</i></b>, consegue ouvir a voz da alma falecida presa lá dentro: odiosa, desesperada, implorando para ser solta.
P	Você pode dominar estes cadeados…
C	… convencendo uma das sombras a revelar como foi capturada.
C	… convencendo uma sombra a revelar o que acontece quando um cadeado é aberto.
C	… encontrando um jeito de abrir os cadeados.
H3	Os Seis Cadeados de Sajua
P	Perturbação: ◇◇◇◇◇◇◇
P	Quando você <b><i>lambuza o sangue de um moribundo num</i></b> <b><i>Cadeado de Sajua aberto e então fecha o cadeado</i></b>, role
P	+CON: <b>com 10+</b>, a alma dele fica presa no cadeado;
P	<b>com 7-9</b>, a alma fica presa, mas todo metal comum na sua presença enferruja ou embaça, corrói e enfraquece.
P	Quando você <b><i>arranca uma promessa de uma alma presa</i></b>
P	<b><i>e então abre o cadeado que a prende</i></b>, a alma é obrigada a cumprir a promessa ao pé da letra antes de seguir seu caminho. Diga ao mestre para tratá-la como um fantasma (embora não necessariamente como seguidor); o cadeado aberto serve de vínculo dela, ao menos por ora.
P	Cada vez que soltar uma alma, marque 1 de Perturbação e role 1d6. Se tirar menos que sua Perturbação, você ouve o chamado do Caçador Pálido ao longe. Espere uma visita em breve.
P	16
