# minor-witch-bottle · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 0a755a37d2a63ad9f22cec31ed926311d84c439d53ce30f00859b0c7d16d609c
# title: 魔女の瓶
# nav_label: 魔女の瓶
# description: 髪と持ち物を燃やして他人を操る銀色のガラス瓶、小アルカナム（Witch Bottle）。
PAGE	529
H3	銀色のガラス瓶
P	◇、<i>壊れやすい</i>、<i>魔法</i>
P	高さ約25センチで、上に向かって細くなり、ナメクジの這った跡のような銀色の筋が走る、古く歪んだガラスでできている。ガラスの模様は見るたびに違って見え、見ているうちに動いているかのようだ。目に涙が滲み、頭がくらくらする。
P	この古いガラス瓶の秘密を解き明かすことはできる。だが次のどちらかをせねばならない……
C	……その仕組みを知る者を見つけ、教えてもらう。あるいは……
C	……瓶を湧き水と幻覚を起こすキノコで満たし、暗闇で2週間浸けておく。
C	……中身を飲み、病と悪夢に苦しみながら何も学べない危険を冒す。
H3	魔女の瓶
P	支配 ◇◇◇
P	<b><i>誰かの髪の毛を、その者が作ったか所有していた</i></b><b><i>品に結びつけ、火をつけて、</i></b><b><i>燃えているまま空の瓶に落とした、</i></b>とき、その者に対する支配を3ホールドする。燃えさしは支配がなくなるまで燃えて光り続ける。その者の真の名を唱えながら支配を1消費して……
B	その感覚をねじ曲げ、真実でないものを知覚させる
B	雨か雪で身を洗うまで、悪夢で苦しめる
B	その心の中のある感情を膨れ上がらせ、ことによるとその者を圧倒する
P	現在あなたが支配をホールドしている相手が魔女の瓶を見つけて割ったなら、あなた自身が、これまでにそれで与えたあらゆる苦しみを受ける。
P	44
