# minor-the-brooms-lullaby · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: La Berceuse du Balai
# nav_label: La Berceuse du Balai
# description: Arcane mineur : un humble balai enchanté dont la berceuse fascine ou endort ceux qui l'entendent.
PAGE	537
H3	Un humble balai
P	◇, <i>magique, grossier</i>
P	Rien qu'un bâton de bois de sorbier bien usé, qui aurait besoin de nouvelles brindilles. Tu n'y penserais pas deux fois. Sauf que... quand tu le tiens, et que tu balaies avec, tu te surprends à fredonner un air à moitié oublié.
P	De toute évidence, ce balai cache plus qu'il n'y paraît. Pour percer ses mystères, tu dois...
C	… trouver un Fae capable d'entendre le chant du balai dans son intégralité.
C	… le convaincre de t'enseigner le chant du balai en entier.
C	… utiliser le balai au moins une fois par jour pendant une saison entière, en chantant la berceuse tout du long.
C	… risquer de sombrer dans un sommeil durable et intemporel en pratiquant la berceuse.
H3	La Berceuse du Balai
P	<i>magique, zone, proche</i>
P	Quand tu <b><i>commences à balayer une zone en chantant doucement</i></b> <b><i>la berceuse</i></b>, jette +CHA : <b>sur un 7+</b>, ceux qui te voient et t'entendent s'arrêtent pour regarder et écouter, au moins un moment, fascinés, déconcertés ou perplexes selon leur nature et les circonstances. Ils reprennent leurs esprits s'ils sont blessés ou menacés. <b>De plus,</b> <b>sur un 10+</b>, tu peux retenir leur attention pendant toute la durée de la berceuse, tant que personne n'est blessé ou menacé.
P	Quand tu <b><i>chantes la berceuse en entier, en balayant tout</i></b> <b><i>du long</i></b>, jette +CHA : <b>sur un 10+</b>, tous ceux qui t'entendent sombrent dans un sommeil profond et auront tendance à croire n'avoir fait qu'un rêve ; <b>sur un 7-9</b>, tous ceux qui t'entendent commencent à somnoler ou glissent dans un sommeil léger et agité, mais s'en souviendront certainement à leur réveil ; <b>sur un 6-</b>, au moins une personne de ton auditoire reprend ses esprits et réalise à quel point tout cela est étrange.
P	60
