# minor-sublime-words · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 06869124b258cf64d57ff32c5a09fec1b73522f079f6687c29649e759af9ee8f
# title: As Palavras Sublimes
# nav_label: As Palavras Sublimes
# description: As Palavras Sublimes (Sublime Words), arcano menor de Stonetop: um canto dos Ustrina que transforma uma obra artesanal em algo de beleza sublime, ao custo da sua voz.
PAGE	533
H3	A história de um garimpeiro
P	“Uma Ustrina me ofereceu um espelho uma vez, uma coisa sem defeito, com moldura de ouro. Ele mostrava <i>a mim</i>, mas… um eu melhor, entende? Disseram quem o fez, um dos Senhores da Forja, acho? Disseram que ela ‘derramou nele suas Palavras Sublimes’, seja lá o que isso signifique. Não pude pagar o preço. Mas nunca vou esquecer aquele espelho, nem como ele me fez sentir.”
P	Aquele velho apareceu morto, mas você suspeita que haja alguma verdade na história dele. Para desvendar seus mistérios, você precisa...
C	… ser competente em alguma arte ou ofício (cerâmica, tecelagem, forja etc.).
C	… encontrar uma Ustrina capaz e disposta a lhe ensinar as Palavras Sublimes.
C	… passar uma estação estudando com a Ustrina, praticando as Palavras.
C	… arriscar nunca dominar as Palavras, ou danificar sua voz para sempre.
H3	As Palavras Sublimes
P	◇ voz rouca, ◇ acessos de tosse, ◇ mudez
P	Quando você <b><i>gasta suprimentos (Valor 2) e uma estação</i></b>
P	<b><i>inteira trabalhando, entoando as Palavras Sublimes</i></b>
P	<b><i>o tempo todo,</i></b> role +WIS. Não importa o resultado, você danificou a voz (marque um estado acima), mas fez uma coisa de verdadeira beleza (Valor 4). <b>Com 10+</b>, escolha 1, ou 2 e danifique ainda mais a voz; <b>com</b> <b>7-9</b>, escolha 1 e danifique ainda mais a voz.
B	A beleza dela atravessará as eras
B	Ela alivia a dor e ameniza o luto
B	Ela inspira os outros a se tornarem melhores
P	<b>Com 6-</b>, ela atiça a ganância de quem a vê e o medo de quem a possui, e ainda pior se essas qualidades já estavam ali. Espere derramamento de sangue.
P	Quando você <b><i>poupa a voz por uma estação</i></b> (sem gritar, falando pouco, sem usar as Palavras Sublimes), limpe um estado acima.
P	52
