# minor-revealing-light · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 487e7d52bf295acc0057955932fb09a6bf89af672a340ae3a9da0aac8b6e8300
# title: Enthüllendes Licht
# nav_label: Enthüllendes Licht
# description: Enthüllendes Licht (Revealing Light), ein kleines Arkanum aus Stonetop: eine goldene Butterlampe, deren bleiches Licht Geister, Illusionen, Gestaltwandler und Lügen sichtbar macht.
PAGE	527
H3	Eine goldene Butterlampe
P	◇◇ <b>,</b> <i>magisch</i><b>,</b> <i>schön</i><b>,</b> <i>Reichweite</i><b>,</b> <i>Fläche</i>
P	Eine übergroße, reich verzierte Lampe in Form eines Kelchs mit breiter Schale, wie jene Lampen, in denen man im Norden bei Ritualen Mammutbutter verbrennt.
P	Sie ist ein Vermögen wert (Wert 4), doch in dieser Lampe steckt mehr, als man auf den ersten Blick sieht. Um ihre Geheimnisse zu entschlüsseln, musst du …
C	… einen Jünger der Reifherren (Rime Lords) (oder einen ihrer Wissensschätze) zurate ziehen, um das Rezept und das Mantra zu lernen, mit denen die Lampe funktioniert.
C	… die besonderen Zutaten für die geklärte Mammutbutter beschaffen, die in der Lampe verbrannt wird (Wert 1).
C	… riskieren, die Aufmerksamkeit eines oder mehrerer Gespenster auf dich zu ziehen, wenn du die Lampe zum ersten Mal entzündest und die Beschwörungsformel sprichst.
H3	Enthüllendes Licht
P	Wenn du <b><i>einen Tag damit verbringst, die besonderen</i></b> <b><i>Zutaten</i></b> (Wert 1) <b><i>nach dem geheimen</i></b> <b><i>Rezept</i></b> zuzubereiten, stellst du einen ◇ Topf Zauberbutter her (◇◇◇
P	◇◇ Stunden).
P	Wenn du <b><i>die Lampe mit der Zauberbutter entzündest</i></b> <b><i>und das Mantra anstimmst</i></b>, gibt die Lampe ein bleiches, wärmeloses Licht ab, solange du weitersingst.
P	In diesem Licht:
B	Sind aktive Geister sichtbar, selbst wenn sie nicht manifestiert sind
B	Werden Illusionen, Blendwerk und Schleier fortgerissen
B	Sind Gestaltwandler als das zu sehen, was sie wirklich sind
B	Strahlen verborgene Dinge eine helle Aura aus
B	Sind ausgesprochene Lügen als schwarzer Rauch sichtbar, der dicht über dem Boden verweilt Leider zieht das Licht den Zorn aller Gespenster (oder anderer hungriger untoter Geister) in der Nähe auf sich.
P	40
