# minor-witch-bottle · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 0a755a37d2a63ad9f22cec31ed926311d84c439d53ce30f00859b0c7d16d609c
# title: Butelka Wiedźmy
# nav_label: Butelka Wiedźmy
# description: Butelka Wiedźmy (Witch Bottle), mniejsze arkanum ze Stonetop: srebrzysta szklana butelka, która przez spalone włosy daje władzę nad zmysłami i snami ofiary.
PAGE	529
H3	Srebrzysta szklana butelka
P	◇, <i>krucha</i>, <i>magiczna</i>
P	Wysoka na jakieś 25 cm, zwężająca się ku górze, ze starego, pofalowanego szkła poprzecinanego srebrzystymi smugami, jak ślady zostawiane przez ślimaki. Wzory w szkle wydają się inne za każdym razem, gdy na nie patrzysz, niemal przesuwają się na twoich oczach. Od patrzenia łzawią ci oczy, kręci ci się w głowie.
P	Możesz odkryć tajemnice tej starej szklanej butelki, ale musisz albo…
C	… znaleźć kogoś, kto zna jej działanie, i nakłonić go, by cię nauczył; albo…
C	… napełnić butelkę wodą źródlaną i halucynogennymi grzybami i zostawić, by naciągało w ciemności przez dwa tygodnie.
C	… wypić zawartość, ryzykując, że niczego się nie nauczysz, przechodząc przez mdłości i koszmary.
H3	Butelka Wiedźmy
P	Władza ◇◇◇
P	Gdy <b><i>owiniesz pasma czyichś włosów wokół</i></b> <b><i>przedmiotu, który ta osoba wykonała lub posiadała, podpalisz je</i></b> <b><i>i wrzucisz jeszcze płonące do pustej butelki,</i></b> zyskujesz 3 Władzy nad tą osobą. Popioły tlą się i żarzą, dopóki Władza się nie wyczerpie. Wydaj 1 Władzy, wypowiadając jej prawdziwe imię, by…
B	Omamić jej zmysły, sprawiając, że dostrzeże coś nieprawdziwego
B	Dręczyć ją koszmarami, dopóki nie obmyje się w deszczu lub śniegu
B	Rozdmuchać w jej sercu jakieś uczucie, być może ją przytłaczając
P	Jeśli osoba, nad którą obecnie masz Władzę, znajdzie i rozbije Butelkę Wiedźmy, sam wycierpisz wszystkie męki, jakie kiedykolwiek nią zadałeś.
P	44
