# minor-the-drowning-scale · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 5beff948e9dbf102fd2bef570c1cf45dde2c9eb8f637f152d716cb48c8ec7601
# title: A Escama do Afogamento
# nav_label: A Escama do Afogamento
# description: A Escama do Afogamento (The Drowning Scale), arcano menor de Stonetop: um pingente frio e sussurrante que se alimenta de últimos suspiros e dispensa quem o usa de respirar.
PAGE	518
H3	Um pingente estranho
P	<i>mágica</i>
P	Um amuleto estranho num simples cordão de couro, como uma escama de algum material reluzente. É frio e pegajoso ao toque. Quando você o coloca pela primeira vez, todos por perto estremecem de frio. Logo depois, você começa a ouvir os sussurros roucos e inspirados.
P	Para desvendar os segredos do pingente…
C	… use-o sem parar por um ciclo lunar, respondendo às perguntas dele com honestidade.
C	… mantenha-se debaixo d'água até correr risco de se afogar.
C	… afogue outra pessoa e ofereça os últimos suspiros dela ao pingente.
H3	A Escama do Afogamento
P	Fôlego: ◇◇◇
P	Quando você <b><i>se debruça sobre alguém que está morrendo, suga</i></b> <b><i>o último suspiro dele e o sopra no pingente</i></b>, role +CON: <b>com 10+</b>, guarde +1 de Fôlego; <b>com 7-9</b>, escolha 1:
B	Guarde 1 de Fôlego, mas ele dilacera seus pulmões; marque <i>abatido</i> e sofra um acesso feio de tosse.
B	O pingente suga com sofreguidão o último suspiro, fica mais frio e suspira; você, infelizmente, não ganha benefício algum.
P	Enquanto guardar Fôlego, você não se abala nem se fere com o frio extremo. Gaste 1 de Fôlego para passar até uma hora sem ar.
P	Quando você <b><i>tira o pingente</i></b>, perde todo o Fôlego que guardar.
