# minor-heliors-shining-ring · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 45da0e9ca0f589cb3939676ae9a47168ca89e0a544b241458f19edd8c44ac5e8
# title: ヘリオルの輝く指輪
# nav_label: ヘリオルの輝く指輪
# description: 闇の中でも聖なる光を放つ金の指輪、小アルカナム（Helior's Shining Ring）。
PAGE	516
H3	金の指輪
P	<i>魔法</i>
P	この簡素な金の輪は光を捉えて輝き、暗闇の中でさえ光る。その存在そのものが善き人々を平安と希望で満たし、闇の僕たちを妬みに満ちた憎悪で満たす。
P	この指輪の秘密を解き明かすことはできる。だがまず、あなたは……
C	……40日間、指輪を外さずに身に着け、毎日日の出を見届けねばならない。
C	……指輪を身に着けたまま、受け手の人生を変えるような慈善の行いをせねばならない。
C	……ヘリオル（Helior）への敬虔で正しい礼拝に加わらねばならない。
H3	ヘリオルの輝く指輪
P	日光：◇◇◇
P	<b><i>一日の大半を、指輪を身に着け</i></b><b><i>陽光のもとでヘリオルを礼拝して過ごした</i></b>とき、日光を1ホールドする。
P	<b><i>影や暗闇の中で指輪を身に着け、</i></b><b><i>日光を1消費した</i></b>とき、指輪は聖なる光（<i>近距離</i>、<i>範囲</i>）を放ち、闇の生き物はそれを見ることに苦痛を覚える。光は数時間、あなたが消すまで、あるいは別の効果（光を掲げる者の祈願など）がその燃料を使い果たすか消し去るまで輝き続ける。
P	あいにく、輝いている間、指輪は精神の灯台のようにも輝き、何マイルも周囲の闇の僕たちにあなたの存在と居場所を知らせてしまう。
