# minor-the-tomb-bogs-mark · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: A Marca do Brejo-Túmulo
# nav_label: A Marca do Brejo-Túmulo
# description: A Marca do Brejo-Túmulo (The Tomb-bog's Mark), arcano menor de Stonetop: a lama de um brejo faminto que impõe um geas aos culpados — e cobra a vida de quem o acusar em falso.
PAGE	511
H3	Um sombrio montículo de turfa
P	Não longe de Beira-Brejo, um tanto adentro do Brejo de Ferrier, há um montículo de turfa onde pássaro algum faz ninho e flor alguma desabrocha. Desde a fundação do lugar, o povo de Beira-Brejo enterra ali certos criminosos, vivos.
P	Com os anos, a terra pariu um espírito que tem fome dos últimos suspiros dos condenados (<i>Livro II</i>, página 85). Ele é jovem e ansioso, e pode ser posto a trabalhar contra criminosos, mas só se você...
C	… encontrar um jeito de se comunicar com ele.
C	… convencê-lo de que usará sua marca só para condenar os culpados.
H3	A Marca do Brejo-Túmulo
P	Quando você <b><i>usa lama do brejo-túmulo para marcar</i></b> <b><i>alguém com o sinal de Aratis e o declara</i></b> <b><i>culpado de um crime</i></b>, pode lançar um geas sobre essa pessoa. Formule-o como um dos seguintes:
B	Você nunca mais poderá ____.
B	De agora em diante, sempre que tiver a chance, você precisará procurar ____.
P	Se ela <b><i>deixar de cumprir o geas</i></b>, sua vida está perdida, e o espírito do brejo-túmulo a rastreará e a sufocará.
P	Se ela <b><i>provar sua inocência ao</i></b> <b><i>espírito do brejo-túmulo</i></b>, é a sua vida que está perdida.
P	8
