# minor-nerth-serpents-vigor · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 60c85c852075bce9d9a4c7bc86edf064a5d2d9cd0f93099ba53bfb54b15d94e4
# title: Vigor de la Serpiente de Nerth
# nav_label: Vigor de la Serpiente de Nerth
# description: Vigor de la Serpiente de Nerth (Nerth Serpent's Vigor), arcano menor de Stonetop: un sendero del Gran Bosque que lleva al Árbol de Nerth, cuya serpiente te otorga, al devorar su corazón, una vitalidad salvaje.
PAGE	516
H3	Un sendero en el bosque
P	En lo más hondo del Gran Bosque (Great Wood) hay una piedra tallada con los toscos pictogramas del Pueblo del Bosque (Forest Folk), que muestran un sendero lleno de pruebas que conduce a un gran poder.
P	Si <b><i>emprendes el sendero en pleno verano,</i></b> puedes desentrañar sus misterios, pero debes...
C	… seguir en silencio los caminos sinuosos hasta que avistes al Ciervo Blanco.
C	… perseguir al Ciervo milla tras milla hasta que te lleve al Árbol de Nerth.
C	… luchar cuerpo a cuerpo con la extraña serpiente que vive en el árbol (<i>Libro II</i>, página 371), arrancarle la vida a apretones y comerte su corazón aún caliente.
P	Si varias personas siguen el sendero en un mismo pleno verano, solo una de ellas puede llegar al Árbol de Nerth.
H3	Vigor de la Serpiente de Nerth
P	Vitalidad: ◇◇◇
P	Cuando <b><i>arrancas la vida a la Serpiente de Nerth a apretones</i></b> <b><i>y devoras su corazón aún caliente</i></b>, guarda 3 de Vitalidad.
P	Mientras tengas Vitalidad, envejeces muy despacio.
P	Gasta Vitalidad, 1 por 1, para:
B	Sacudirte un veneno, una enfermedad o una maldición
B	Sobrevivir a una herida o lesión letal
B	Recuperarte por completo de una lesión o discapacidad permanente (con unos días de descanso)
B	Realizar una hazaña de fuerza, destreza o resistencia extraordinarias
P	Cada vez que gastas Vitalidad, manifiestas una marca permanente de lo salvaje (cuernos, piel como de cuero, ojos de animal, etc.) o una marca así se acentúa. Cuéntanos cuál es.
