# minor-truth-seeds · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 5c4a114b0bde74f74d690285f35879935fa534fa09f81b224b889b72a14dcc38
# title: As Sementes da Verdade
# nav_label: As Sementes da Verdade
# description: As Sementes da Verdade (Truth Seeds), arcano menor de Stonetop: vagens de urtiga-gwir encantadas que garantem promessas — e brotam violentamente de quem as quebra.
PAGE	508
H3	Um conto popular
P	Há um conto antigo sobre uma velha erveira de Beira-Brejo que engana um troll-do-brejo para que ele coma uma vagem encantada. Ela promete ir buscar mais comida para o troll se ele prometer depois deixá-la ir. Claro, o troll quebra a palavra e tenta comê-la, mas a vagem irrompe num emaranhado de urtigas-gwir quando ele o faz.
P	Você pode aprender o segredo das vagens encantadas, mas precisa de um dos seguintes:
C	Um erveiro de Beira-Brejo, versado no saber antigo, para lhe ensinar o ritual
C	O espírito de uma urtiga-gwir, amigo ou preso, para revelar os segredos de seu nascimento
H3	As Sementes da Verdade
P	Quando você <b><i>mergulha um par de vagens de urtiga-gwir no</i></b> <b><i>seu próprio sangue, sussurra segredos sobre elas e</i></b> <b><i>pronuncia as palavras de poder</i></b>, elas se tornam sementes da verdade
P	(<i>mágica)</i>.
P	Quando você e outra pessoa <b><i>comem cada um uma semente da verdade e</i></b> <b><i>fazem promessas um ao outro</i></b>, as sementes ficam nas suas entranhas e garantem que as promessas sejam cumpridas.
P	Quando você <b><i>quebra sua promessa</i></b>, a semente da verdade nas suas entranhas brota violentamente numa urtiga-gwir adulta, causando 1d10+3 de dano com vantagem (<i>sujo</i>, ignora armadura), e agora você tem uma urtiga-gwir crescendo de dentro de você.
P	Se a <b><i>outra parte quebrar a promessa dela</i></b>, sofre o mesmo destino.
P	2
