# minor-cold-mind-iron-body · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 2ec884aaa4d10c054e5918043da576e12fc29e02a1fd523c755f1542f1aec28b
# title: Kalter Geist, Eiserner Leib
# nav_label: Kalter Geist, Eiserner Leib
# description: Kalter Geist, Eiserner Leib (Cold Mind, Iron Body), ein kleines Arkanum aus Stonetop: eine Gebetskette der Reifherren, deren Meditation dich gegen Kälte, Hunger und Erschöpfung stählt.
PAGE	526
H3	Eine Gebetskette
P	◇ <b>,</b> <i>magisch</i><b>,</b> <i>schön</i>
P	Eine fast 3 m lange Schnur, auf die Bronzeperlen gefädelt sind. In jede Perle sind eine andere Glyphe und eine Gestalt in einer einzigartigen meditativen Haltung geschnitzt.
P	Lässt du die Finger über die Perlen gleiten, spürst du eine tiefe Stille – aber auch ein gnadenloses Gewicht des Urteils.
P	Um die Geheimnisse der Gebetskette zu entschlüsseln, musst du …
C	… die Glyphen der Reifherren (Rime Lords) entziffern, die in die Perlen geprägt sind.
C	… die meditativen Gesänge lernen, die zu den Perlen gehören (aus einem Wissensschatz oder von jemandem, der sie kennt).
C	… eine Jahreszeit in Abgeschiedenheit verbringen, nackt und fastend, mit der Gebetskette meditieren und dabei Krankheit, Unfall und Missgeschick riskieren.
H3	Kalter Geist, Eiserner Leib
P	Vorbereitung ◇◇◇
P	Wenn du <b><i>Bestärkst, indem du deine freie Zeit in Abgeschiedenheit, fastend und mit der Gebetskette meditierend verbringst</i></b>, halte Vorbereitung (wie beim Spielzug Bestärken).
P	Solange du <b><i>mindestens 1 Vorbereitung hältst</i></b>, brauchst du nur eine Stunde Schlaf pro Nacht, erträgst kaltes Wetter ohne <i>warme</i> Kleidung und musst auf Reisen oder im Lager keine Vorräte oder Proviant verbrauchen. Nach etwa zehn Tagen solch harten Lebens verlierst du 1 Vorbereitung.
P	Außerdem kannst du 1 Vorbereitung ausgeben, um:
B	+1 auf einen beliebigen Wurf zu addieren, nachdem er erfolgt ist (höchstens +1 pro Wurf)
B	Eine Schwächung zu löschen oder dich zu weigern, eine anzukreuzen
B	Eine Tat äußerster Ausdauer zu vollbringen
B	Schaden aus einer Quelle elementarer Energie zu ignorieren (Feuer, Kälte, Blitz usw.)
