# minor-groundskimmer · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 9c7a664ddb726cc31d443a9a2dac8e99e10a0570c9fa11faab08631e1e96fcac
# title: 掠地舟
# nav_label: 掠地舟
# description: 掠地舟（Groundskimmer），石顶小秘宝：一艘用以太矿悬停的双体帆船，可掠过荒原。
PAGE	532
H3	一辆古怪的载具
P	<i>大型，魔法，易碎</i>
P	像泽畔用的那种独木舟两艘拼在一起，但更大，尾部有大鳍。
P	它们用木梁连着，上面铺着平台。一艘舟上有一座高塔，从中折断，还挂着一块撕破的三角布。木头大多腐了。舟身箍着以太矿，压着石头。
P	你怀疑这是某种载具，但要解开它的奥秘，你……
C	……需要一名熟练的木匠、好木材（价值2）、一张新帆（价值1），以及花上一季修理。
C	……有进一步损坏它、和/或让它/以太矿飘走的风险。
C	……必须调谐以太矿，以控制它悬停多少。
C	……还要另有人花上一季学习驾驶这东西，冒着受伤和损坏船只的风险。
H3	掠地舟
P	<i>大型，魔法，危险，</i> 需要2人船员 掠地舟的载量大约相当于一辆满载的货车。当你<b><i>握住舵柄</i></b> <b><i>并专注</i></b>时，你可以调整船只以太矿对大地的排斥程度。当你<b><i>正确地</i></b> <b><i>把它调到匹配当前负载</i></b>时，它悬停在离地几英尺处，可以扬帆掠过地貌。顺风且安全航速下，它大约8小时能横穿荒原。逆风则慢得多，需要之字形航线。
P	恶劣天气、高速、飞得太高、崎岖地形、躲避障碍、损伤、撞击、负载骤变，都涉及直面险境（由你/船员/乘客来）。
P	在大森林里航行是不可能的（太密）。在阶地、山麓或山里离开道路是自杀；即便在那些地区沿着匠造者之路走也很危险。
