# initiates-of-danu · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: e324d4b042e66148254d7dbf338a3bc2c979ab1daae5cf28e7ec51cc8238236e
# title: Iniciados de Danu
# nav_label: Iniciados de Danu
# description: O encarte dos Iniciados de Danu, do Abençoado: Enfys, Afon, Gwendyl, Olwin e Seren, e os movimentos de seguidores.
PAGE	145
HR
P	Iniciados de Danu Abençoado, se você pegou o antecedente Iniciado, então escolheu 2 ou 3 dos seguintes como seus companheiros iniciados. Marque os que escolheu e trate-os como seguidores. Risque os outros.
HR
ICON	icons/default.svg
H3	Enfys, o acólito
P	<i>Sábio em aves</i>, <i>inocente</i>, <i>mágico</i>, <i>bem informado</i>
P	<b>HP</b> 6; <b>Armadura</b> 0 <b>HP</b>
P	<b>Dano</b> faca de bronze d4 (<i>mão</i>)
P	<b>Instinto</b> distrair-se
P	• Falar com as aves Máx. 6
P	• Fazer uma pergunta difícil
P	• Perambular para longe
P	<b>Custo</b> conhecimento, saber secreto; <b>Lealdade</b> ◇◇◇
P	Escolha 1 em cada linha: ele ela elu
C	só uma criança quase adulto um jovem adulto
C	escolhido com cuidado marcado por Danu órfão
C	despreocupado curioso temperamental reservado
HR
ICON	icons/default.svg
H3	Afon, um companheiro iniciado
P	<i>Sábio em Fae</i>, <i>manhoso, mágico, autossuficiente, furtivo</i>
P	<b>HP</b> 8; <b>Armadura</b> 2 (0 contra ferro) <b>HP</b> <b>Dano</b> machadinha de bronze d6 (<i>mão</i>)
P	<b>Instinto</b> agir por impulso
P	• Tecer um glamour pequeno Máx. 8
P	• Aparecer ou sumir de repente
P	• Dizer uma verdade incômoda
P	<b>Custo</b> assombro, alegria; <b>Lealdade</b> ◇◇◇
P	Escolha 1 em cada linha: ele ela elu
C	vai e vem na Mata uma choupana perto da aldeia
C	arredio grosseiro e lascivo perturbador ritos de… êxtase intoxicação luar
HR
ICON	icons/default.svg
H3	Gwendyl, sua mentora
P	<i>Sábia em ervas</i>, <i>fofoqueira</i>, <i>incansável</i>, <i>curandeira</i>, <i>mágica</i>
P	<b>HP</b> 6; <b>Armadura</b> 0 <b>HP</b>
P	<b>Dano</b> faca de ferro d6 (<i>mão</i>)
P	<b>Instinto</b> ofender-se
P	• Cuidar dos doentes, feridos, Máx. 6 e das mulheres em trabalho de parto
P	• Tecer um talismã de fertilidade ou de boa sorte
P	• Apontar um defeito numa pessoa ou num plano
P	<b>Custo</b> consideração, afeto; <b>Lealdade</b> ◇◇◇
P	Escolha 1 em cada linha: ele ela elu
C	uma família grande acolheu você mora sozinha
C	direta exigente sobrecarregada não tolera tolos ritos de… terra e solo luto súplica
ICON	icons/default.svg
H3	Olwin, seu amor ungido
P	<i>Sábio nos fados</i>, <i>belo</i>, <i>passional</i>, <i>mágico</i>
P	<b>HP</b> 6; <b>Armadura</b> 1 (escudo) <b>HP</b> <b>Dano</b> lança de ferro d6 (<i>perto</i>, <i>arremessável</i>)
P	<b>Instinto</b> não ter discrição
P	• Realizar uma adivinhação Máx. 6
P	• Proferir uma profecia (funesta)
P	• Fazer alarde de alguma coisa
P	<b>Custo</b> ternura, respeito; <b>Lealdade</b> ◇◇◇
P	Escolha 1 em cada linha: ele ela elu
C	prometido amor verdadeiro cerimonial complicado
C	do contra dramático passional atormentado ritos de… sangue fogo união sagrada
ICON	icons/default.svg
H3	Seren, a Mais Velha
P	<i>Excepcional, sábia em histórias, perspicaz, frágil, mágica</i>
P	<b>HP</b> 3; <b>Armadura</b> 0 <b>HP</b> <b>Dano</b> bengala d4 (<i>perto</i>)
P	<b>Instinto</b> seguir à risca a tradição
P	• Consultar os espíritos, Máx. 3 ou repudiá-los
P	• Contar uma história para provar um ponto
P	• Usar vergonha e culpa como alavanca
P	<b>Custo</b> deferência, bom senso demonstrado; <b>Lealdade</b> ◇◇◇
P	Escolha 1 em cada linha: ele ela elu
C	desprezada tida com pena temida venerada
C	reservada amável mas firme imperiosa ritos de… ferro nomeação secreta inverno
P	<b>COMANDAR SEGUIDORES</b>
P	Quando você <b><i>manda que eles façam um movimento e eles</i></b> <b><i>o fazem,</i></b> role +1 em vez de +ATRIBUTO se alguma das etiquetas deles se aplicar (ou +2 se eles também forem <i>excepcionais</i>). Se nenhuma etiqueta se aplicar, role +0. Se alguma das etiquetas deles atrapalhar, role com desvantagem.
P	Quando eles <b><i>estão sem ordens</i></b> ou <b><i>agem por</i></b> <b><i>iniciativa própria</i></b>, o Mestre diz o que eles fazem e como corre.
HR
P	<b>FORTALEÇA SEU VÍNCULO</b>
P	Quando você <b><i>paga o custo deles</i></b> e não fez isso há pouco, eles seguram +1 de Lealdade (máx. 3).
P	Gaste a Lealdade deles, 1 a 1, para fazê-los:
B	Superar o medo e fazer o que você diz
B	Resistir a agir conforme seu instinto/etiquetas/traços
B	Fazer algo que não querem fazer (contanto que não seja abominável nem suicida)
