# minor-aalz-galts-sudden-sinkhole · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: dddc9f4550d97dfde91eebf12358fa1c8a3b03733d52254767714604a256eeb2
# title: O Sumidouro Súbito de Aalz Galt
# nav_label: O Sumidouro Súbito de Aalz Galt
# description: O Sumidouro Súbito de Aalz Galt (Aalz Galt's Sudden Sinkhole), arcano menor de Stonetop: um feitiço aprendido num dormitório de gigante que abre um vazio sob a terra ou a pedra.
PAGE	509
H3	Um dormitório de gigante
P	<i>mágica</i>
P	Numa ruína dos Senhores da Pedra há uma velha moradia que carrega a marca psíquica de seu habitante, um moldador de pedra de habilidade considerável.
P	Quando você <b><i>entra no dormitório</i></b>, é tomado por uma visão desse estudante inventando seu primeiro feitiço. Você pode aprender esse feitiço, mas…
C	… precisa ter algum talento para a magia.
C	… levará semanas de exposição e estudo repetidos.
C	… corre o risco de sofrer danos duradouros ao físico e à saúde.
H3	O Sumidouro Súbito de Aalz Galt
P	Quando você <b><i>entoa uma nota retumbante e concentra sua</i></b> <b><i>vontade num ponto de terra ou pedra</i></b>, marque uma debilidade e role +INT:
P	<b>Com 10+</b>, a terra ou pedra em que você se concentra permanece intacta, mas a terra ou pedra abaixo dela se esfarela, se dissolve e escoa, criando um bolsão vazio mais ou menos da largura que seus braços conseguem abraçar e da profundidade da sua altura. A superfície parece estável, mas tende a rachar ou quebrar sob esforço.
P	<b>Com 7-9</b>, o canto funciona como acima, mas suga ainda mais energia do seu corpo. Marque outra debilidade e sofra 2d4 de dano (ignora armadura).
P	4
