# minor-hand-of-aals-sannan · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 2d2efb822e688b20e19ee93e6a9a75f75d5ef49203e5fb49fb8859ad8f119f2b
# title: Mano de Aals Sannan
# nav_label: Mano de Aals Sannan
# description: Mano de Aals Sannan (Hand of Aals Sannan), arcano menor de Stonetop: la mano momificada de un hechicero cuyo poder te restaura por completo a cambio de volverte un poco más como él.
PAGE	536
H3	Una mano momificada
P	◇, <i>mágico, frágil</i>
P	Hallada en una caja de plomo grabada, esta reliquia macabra está adornada con tres anillos de oro (Valor 2).
P	Cada anillo tiene un engaste vacío, como si estuviera hecho para sostener una piedra. Solo quedan unas escamas oscuras, como de herrumbre.
P	La mano aún vibra con una vitalidad impía. Para desentrañar sus misterios, debes...
C	… averiguar el nombre del hechicero al que perteneció esta mano.
C	… aprender las palabras de poder y el procedimiento de abajo.
C	… en tres noches distintas, empapar un trozo diferente de cristal rojo (Valor 1) en un cuenco con tu propia sangre fresca (5 HP, marca una debilidad), salmodiando palabras de poder durante toda la noche, y después engastar el cristal aún goteante en uno de los anillos que adornan la mano.
H3	Mano de Aals Sannan
P	Cuando tú (y solo tú) <b><i>tocas la mano y</i></b> <b><i>pronuncias el nombre de Aals Sannan,</i></b> los tres cristales se atenúan y el poder del hechicero, muerto hace mucho, te colma. Restablece tus HP al máximo, borra tus debilidades y sana cualquier herida problemática (si te estabas muriendo, ya no). Además, marca una:
P	◇ Parte de tu apariencia cambia y se parece más a la de Aals Sannan.
P	◇ Tu instinto cambia a algo más cínico/manipulador/ambicioso.
P	◇ Tu corazón se endurece hacia alguien que te importa, de modo que ahora solo lo ves como una herramienta o una amenaza.
P	Cuando <b><i>las tres estén marcadas</i></b>, los tres cristales se deshacen en polvo. Borra las tres marcas, pero sus efectos permanecen. Además, borra las tres últimas casillas del anverso de esta carta. Hasta que sustituyas los tres cristales, no puedes usar este arcano.
