# minor-thunderous-bellow · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: Bramido Atronador
# nav_label: Bramido Atronador
# description: Bramido Atronador (Thunderous Bellow), arcano menor de Stonetop: una placa de bronce con runas de los Hacedores que enseña a canalizar la tormenta primigenia en un bramido ensordecedor.
PAGE	510
H3	Una placa medio enterrada
P	◇◇, <i>aparatoso</i>, <i>mágico</i>
P	Una placa de bronce que asoma del suelo, en algún lugar de las Llanuras (Flats) o cerca del Río del Pavor (Dread River). Está abollada y algo combada, con runas de los Hacedores (Makers) y diagramas esotéricos grabados en la superficie. ¿Cómo demonios ha acabado aquí?
P	La placa contiene el funcionamiento de un hechizo, que puedes aprender, pero…
C	… antes debes desenterrar y limpiar la placa.
C	… debes descifrar las runas de los Hacedores.
C	… te llevará unas semanas de estudio.
C	… te arriesgas a dañar tu voz, tu oído o a tus vecinos (o todo ello) mientras practicas.
H3	Bramido Atronador
P	Cuando <b><i>canalizas la tormenta primigenia y lanzas</i></b> <b><i>un bramido atronador</i></b>, recibes 1d6 de daño (ignora la armadura) y tira +CON: <b>con 10+</b>, todos los que están cerca (salvo tú) deben elegir 2; <b>con 7-9</b>, todos los que están cerca (salvo tú) deben elegir 1.
B	Soltar lo que llevan y taparse los oídos
B	Quedar ensordecidos y desorientados durante unos instantes
B	Retroceder tambaleándose unos pasos, alejándose de ti 6
