# minor-hand-of-aals-sannan · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 2d2efb822e688b20e19ee93e6a9a75f75d5ef49203e5fb49fb8859ad8f119f2b
# title: アールズ・サナンの手
# nav_label: アールズ・サナンの手
# description: 死した魔術師の力を宿すミイラ化した手、小アルカナム（Hand of Aals Sannan）。
PAGE	536
H3	ミイラ化した手
P	◇、<i>魔法、壊れやすい</i>
P	彫刻の施された鉛の箱の中で見つかったこのおぞましい遺物は、3つの金の指輪（価値2）で飾られている。
P	どの指輪にも空の台座があり、石を嵌めるためのものだったらしい。残っているのは錆のような暗い色の薄片だけだ。
P	手はいまだ邪悪な生気に脈打っている。その神秘を解き明かすには、あなたは……
C	……この手の持ち主だった魔術師の名を知らねばならない。
C	……力ある言葉と、以下の手順を学ばねばならない。
C	……別々の3つの夜に、それぞれ異なる赤い水晶（価値1）をあなた自身の新鮮な血を満たした鉢に浸し（HP5、衰えを1つマークする）、夜通し力ある言葉を詠唱し、まだ血の滴る水晶を手を飾る指輪のひとつに嵌めねばならない。
H3	アールズ・サナンの手
P	あなたが（そしてあなただけが）<b><i>手に触れて</i></b><b><i>アールズ・サナンの名を唱えた、</i></b>とき、3つの水晶すべてが光を失い、遠い昔に死んだ魔術師の力があなたに注ぎ込まれる。HPを最大値に戻し、衰えを回復し、厄介な傷をすべて癒す（瀕死であったなら、もはやそうではない）。さらに、1つマークする：
P	◇ あなたの外見の一部が、アールズ・サナンに似たものへと変わる。
P	◇ あなたの本能が、より冷笑的／策略的／野心的なものへと変わる。
P	◇ 大切に思っていた誰かに対してあなたの心が冷え、今ではその者をただの道具か脅威としか見なくなる。
P	<b><i>3つすべてがマークされた</i></b>とき、3つの水晶は崩れて塵となる。3つのマークをすべて消すが、その効果は残る。さらに、このカードの表にある最後の3つのチェックボックスを消す。3つの水晶すべてを取り替えるまで、このアルカナムは使えない。
