# minor-the-flesh-is-like-clay · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: a646473d865f407fe74be39aeab2c295a62736990923692ba512f7e0749d871f
# title: La Carne Es Como Arcilla
# nav_label: La Carne Es Como Arcilla
# description: La Carne Es Como Arcilla (The Flesh Is Like Clay), arcano menor de Stonetop: una cueva mancillada por una Cosa de Abajo donde, con sacrificios de sangre, puedes remodelar tu propia carne.
PAGE	528
H3	Una cueva espeluznante
P	Hay una cueva en algún lugar —un lugar donde nunca brilla la luz— cuyas paredes son formaciones agitadas, resbaladizas y húmedas, con destellos de vetas de cristal rojo que ya no brilla. La piedra ondula a la luz titilante de la antorcha. Sí, sí, debe de ser eso... un efecto de la luz, nada más.
P	La cueva conserva la mancilla persistente de una Cosa de Abajo (Thing Below), pero ha quedado aislada de su poder. Para desentrañar sus secretos, debes…
C	… averiguar el nombre de la Cosa de Abajo que antaño corrompió este lugar.
C	… quedarte aquí en oscuridad absoluta durante al menos un día entero, pese a las pesadillas y las alucinaciones que ponen a prueba tu alma.
C	… traer a la cueva a un ser de sangre caliente todavía vivo y derramar su sangre vital sobre las piedras mientras entonas el nombre de la Cosa de Abajo que una vez tocó este lugar impío.
H3	La Carne Es Como Arcilla
P	Cuando <b><i>matas cruelmente a un ser de sangre caliente</i></b> <b><i>en la cueva,</i></b> uno de un tamaño similar al tuyo, y <b><i>untas las piedras con su sangre y con la tuya,</i></b> marca 1:
C	Obtienes una resistencia impía: aumenta tus HP máximos en 2 y obtienes +1 de armadura contra todo salvo el bronce.
C	Obtienes uno de los rasgos físicos de tu víctima (su fuerza, su velocidad, su aspecto, su corazón fuerte, etc.).
C	Te curas una lesión permanente (te vuelve a crecer un miembro, se te borra una cicatriz, se te arregla una rodilla maltrecha, etc.).
P	<b><i>Cada vez que usas este poder</i></b>, marca las tres debilidades. Con cada uso, parte del cristal rojo desaparece de la cueva. Tras el tercer uso, el cristal y el poder de la cueva se han esfumado.
