# inserts · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: c08ccb1cbebe1b7f4a3675fd611c2df0e4d8235bca67263d9969cee039af605d
# title: Encartes
# nav_label: Encartes
# description: Os encartes de Stonetop: Inventário, Companheiro Animal, Tripulação, Iniciados de Danu, Invocações, o encarte genérico e os encartes de Fantasma, Revenante e Servo.
PAGE	141
P	Seu PJ vai ter pelo menos um encarte, uma folha de meia página, frente e verso, que você pode enfiar dentro do seu livreto dobrado. Os PDFs vêm no playkit no site da Lampblack
P	& Brimstone, mas os encartes também estão neste capítulo, para consulta.
P	Todo PJ recebe a folha de <b>Inventário</b> (página 142). Veja <b>Equipamento e posses</b> na página 86 para uma explicação de como esse encarte é usado. O verso do encarte varia conforme o seu livreto e as escolhas que você fizer.
P	Se você for…
E	<b>o Patrulheiro com o movimento companheiro animal</b>, então recebe o encarte <b>Companheiro</b> <b>Animal</b> (página 143), claro;
E	<b>o Marechal</b>, então recebe o encarte <b>Tripulação</b> (página 144);
E	<b>o Abençoado com o antecedente Iniciado</b>, então recebe o encarte <b>Iniciados de</b> <b>Danu</b> (página 145);
E	<b>o Portador da Luz</b>, então recebe o encarte <b>Invocações</b> (página 146);
P	Caso contrário, você recebe um encarte <b>genérico</b> (página 147), com espaço para acompanhar seguidores e um resumo da sua agenda, dos seus princípios e das suas regras de jogador.
P	O PDF do playkit está preparado para imprimir com a folha de Inventário numa página e a folha específica do livreto (ou as folhas genéricas de seguidores/agenda) no verso. Só há uma cópia de cada folha neste capítulo.
H3	Livretos e Encartes
P	Há também três encartes que podem ser obtidos como resultado do movimento À Beira da Morte e de más decisões: o <b>Fantasma</b> (página 148), o <b>Revenante</b> (página 150) e o <b>Servo</b> (página 152). Esses encartes normalmente são impressos frente e verso em meia folha de papel. Você pega um deles só quando ele se torna relevante.
P	Além dos encartes apresentados neste capítulo, você também pode receber um encarte que representa um <b>arcano maior</b> (página 60).
P	O Buscador começa o jogo com um arcano maior, conforme indicado pelo seu antecedente; e, se você pegar o livreto do Brutamontes com o antecedente "Marcado pela Tempestade", começa o jogo com o arcano maior Marcas da Tempestade.
P	Você encontra esses arcanos no Apêndice D: Arcanos
P	Maiores (<i>Livro II</i>, página 540).
