# minor-laoj-daveths-galvanic-infusion · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 19d905a17a1c6cdd4e449b0b3c9cfe444a196b16783503f90a520f79a999d42d
# title: A Infusão Galvânica de Laoj Daveth
# nav_label: A Infusão Galvânica de Laoj Daveth
# description: A Infusão Galvânica de Laoj Daveth (Laoj Daveth's Galvanic Infusion), arcano menor de Stonetop: um exercício mental que puxa o poder do etério para dentro do corpo — e cobra o preço depois.
PAGE	508
H3	Um velho estojo de pergaminhos
P	◇, <i>frágil</i>
P	Um estojo de couro para pergaminhos, rachado e gasto pelo tempo.
P	Dentro há uma carta esfarrapada e um par de pequenos lingotes azulados. É uma carta, num dialeto antigo do Povo das Colinas, de um aprendiz ao seu mestre. Ela descreve um exercício mental para extrair o poder latente do etério.
P	Você pode aprender <b>A Infusão Galvânica de Laoj Daveth</b> com o pergaminho, mas…
C	… você precisa traduzir a carta.
C	… levará algumas semanas de estudo dedicado.
C	… você gastará um dos lingotes de etério (ou outra fonte de etério).
C	… você corre o risco de se eletrocutar e/ou gastar o outro lingote.
H3	A Infusão Galvânica de Laoj Daveth
P	Quando você <b><i>toca um pedaço de etério e puxa</i></b> <b><i>o poder dele para dentro de si</i></b>, role +CON: <b>com 7+</b>, você absorve o poder e ganha 1d8 HP (mesmo que isso o leve acima do seu HP máximo); <b>mas com 7-9</b>, o etério se esgota e se desfaz numa massa calcária de azinhavre.
P	O feitiço dura até você dispensá-lo ou até tirar 6- em qualquer movimento. Enquanto durar, você não precisa dormir e permanece muito alerta e concentrado — ganhe vantagem em quaisquer rolagens com SAB.
P	Se ficar acordado por mais de alguns dias, seu corpo fica cada vez mais exausto e você arrisca alucinações, paranoia e vício.
P	Quando <b><i>o feitiço acaba,</i></b> você perde 1d8 HP.
