# minor-horn-of-storms · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 9bf1be51f0e509e32c9e0455add3e1a9f8143d89beafa92f9249e7bb22b4f6b1
# title: Horn der Stürme
# nav_label: Horn der Stürme
# description: Horn der Stürme (Horn of Storms), ein kleines Arkanum aus Stonetop: ein feines Trinkhorn von einem Fremden mit fehlendem Finger, das einen Sturm heraufbeschwört, wenn du dich daraus betrinkst.
PAGE	535
H3	Ein feines Trinkhorn
P	◇, <i>schön, magisch</i>
P	Du hast es von einem Fremden. Etwa bei einer Wette, bei einem Wettstreit oder als Geschenk für eine Freundlichkeit. Oder hast du es ihm vielleicht ohne seine Zustimmung abgenommen? Jedenfalls wirkte er, was das Horn anging, etwas verschämt, fast froh, es dir zu überlassen. Und kurz bevor sich eure Wege trennten, fiel dir der fehlende Finger an seiner linken Hand auf.
P	Seitdem scheint das Horn nach dir zu rufen und dich herauszufordern, ausgiebig daraus zu trinken. Um seine Geheimnisse zu entschlüsseln, musst du …
C	… es mit Whisky oder einem ähnlich starken Schnaps füllen.
C	… den Inhalt in einem Zug leeren (kreuze <i>benommen</i> an).
C	… riskieren, das Bewusstsein zu verlieren, dich zum Narren zu machen oder zumindest weitere Schwächungen anzukreuzen.
C	… den Sturm überleben, den du dadurch heraufbeschwörst (siehe Rückseite).
H3	Horn der Stürme
P	Wenn du <b><i>dich aus dem Horn</i></b> <b><i>ordentlich betrinkst,</i></b> kreuze eine Schwächung an. Du rufst einen Sturm herbei, dessen Zentrum dein Standort ist. Würfle vier d4. Für jede weitere Schwächung, die du ankreuzt, würfle einen zusätzlichen d4.
P	<b><i>Bis der Sturm vorüber ist</i></b>, kannst du keine Schwächungen löschen.
P	Weise jedem der Folgenden einen d4 zu:
P	____ <b>Beginn: 1</b> = am nächsten Tag; <b>2-3</b> = in ein paar Stunden; <b>4</b> = innerhalb der Stunde.
P	____ <b>Heftigkeit: 1</b> = gefährlich, sich draußen aufzuhalten;
P	<b>2-3</b> = beschädigt schwache Bauten; <b>4</b> = verwüstet schwache Bauten und beschädigt stabile.
P	____ <b>Ausdehnung: 1</b> = etwa 1,5 km; <b>2-3</b> = etwa 20 km; <b>4</b> = 50 bis 100 km und mehr.
P	____ <b>Dauer</b> (sobald er richtig losgeht)<b>: 1</b> = weniger als eine Stunde; <b>2-3</b> = ein paar Stunden; <b>4</b> = etwa einen Tag.
P	56
