# minor-the-green-lords-shade · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: 绿领主之影
# nav_label: 绿领主之影
# description: 绿领主之影（The Green Lord's Shade），石顶小秘宝：一具带巨角的头骨，可召来残影回答关于古代的问题。
PAGE	520
H3	一具古怪的头骨与鹿角
P	<i>无法携带，魔法</i>
P	一具头骨，有马头那么大，但显然不是马——也不是龙蜥、狼或熊。因为那些野兽都不会长出安在这头骨上的如此雄伟的角。
P	细看，可见骨上刻着古代符记的涡纹与扭曲。在它面前的人常常感到一阵穿堂风，仿佛有人把门开了一条缝。
P	要解开这件遗物的秘密，你……
C	……必须得知这头骨所属残影的名字；或者……
C	……使用蒙福者的召请精魂行动来唤起这残影。
H3	绿领主之影
P	当你<b><i>献上好酒、新鲜</i></b> <b><i>水果或刚煮的肉，并唤起</i></b> <b><i>头骨的残影</i></b>时，它在阴影中显现于你面前。
P	这残影对古代、绿领主及其作为知道很多。它没有力量，但能回答问题。在回答之前，它会要求有权“骑”你，体验活着的乐趣。（<b>本能</b> 去满足它越来越具体的渴望。）
P	它骑着你时，残影只通过冲动与欲望交流。当它<b><i>强迫</i></b> <b><i>你做出违背意愿的事</i></b>时，若你服从就标记XP。若你抵抗，你就是在直面险境。
