# Moonstone · Book II, p. 536 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	536
H3	A vein of milky crystal
P	<i>magical, beautiful, immobile</i>
P	Found in a cave, a mountain, or some rocky outcrop, likely considered sacred by the locals. It looks like cloudy white quartz, but glows faintly at night.
P	You can unlock the mysteries of this vein and craft a talisman against the undead, but to do so you must...
C	… personally extract a large ◇ hunk of crystal (Value 1) from the vein.
C	… have a gemcutter shape and polish it into a perfect sphere (a Value 1 job).
C	… learn the sacred words for imbuing a moonstone with light and then calling that light forth.
C	… spend three nights under the full moon, speaking the sacred words, risking a mistake that ruins the moonstone or at least wastes your efforts this month.
H3	Moonstone
P	◇, <i>beautiful, magical</i>, <i>fragile</i>,
P	hours: ◇◇◇◇◇
P	When you <b><i>spend a night beneath the full moon,</i></b> directing its light into the moonstone, it gains 1 hour of light (max 5).
P	When you <b><i>hold the moonstone aloft in darkness</i></b> <b><i>and utter a sacred word</i></b>, it shines with pale white light (<i>area</i>, <i>near</i>) that shows no color, only shape and texture. The light reveals the undead, even spirits that have yet to manifest and entities masked by magic or disguise.
P	When <b><i>the moonstone is your only light source and</i></b> <b><i>you shout the proper word</i></b>, it blazes with silvery light and all undead in range take 1d6 damage per hour of light remaining (ignores armor). The moonstone then goes dark, its light expended until you charge it again.
