# minor-the-green-lords-shade · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: La Sombra del Señor Verde
# nav_label: La Sombra del Señor Verde
# description: La Sombra del Señor Verde (The Green Lord's Shade), arcano menor de Stonetop: un cráneo astado habitado por la sombra de un Señor Verde que responde preguntas a cambio de montar tu cuerpo.
PAGE	520
H3	Un cráneo extraño con cornamenta
P	<i>inmóvil, mágico</i>
P	Un cráneo del tamaño de la cabeza de un caballo, pero que está claro que no es de caballo, ni de draco, ni de lobo, ni de oso. Pues ninguna de esas bestias luciría una cornamenta tan imponente como la que lleva este cráneo.
P	Si se mira de cerca, se ven las espirales y los giros de glifos antiguos tallados en el hueso. Quienes están en su presencia suelen notar una corriente de aire, como si alguien se hubiera dejado una puerta entornada.
P	Para desentrañar los secretos de esta reliquia…
C	… debes averiguar el nombre de la sombra a la que perteneció este cráneo; o…
C	… usa el movimiento Llamar a los Espíritus del Bendito para invocar a la sombra.
H3	La Sombra del Señor Verde
P	Cuando <b><i>haces una ofrenda de buen licor, fruta</i></b> <b><i>fresca o carne recién cocinada e invocas a la sombra del</i></b> <b><i>cráneo</i></b>, se manifiesta ante ti entre las sombras.
P	La sombra sabe mucho de los tiempos antiguos, de los Señores Verdes (Green Lords) y de sus obras. No tiene poder, pero puede responder preguntas. Antes de hacerlo, exigirá el derecho a «montarte» y experimentar los placeres de la vida. (<b>Instinto</b> satisfacer sus anhelos, cada vez más concretos.)
P	Mientras te monta, la sombra solo se comunica a través de impulsos y deseos. Cuando <b><i>te obliga</i></b> <b><i>a actuar en contra de tu voluntad</i></b>, marca XP si obedeces. Si te resistes, estás Desafiando el Peligro.
