# minor-revealing-light · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 487e7d52bf295acc0057955932fb09a6bf89af672a340ae3a9da0aac8b6e8300
# title: Luz Reveladora
# nav_label: Luz Reveladora
# description: Luz Reveladora (Revealing Light), arcano menor de Stonetop: una lámpara de manteca de oro cuya luz mágica muestra a los espíritus y disipa ilusiones, disfraces y mentiras.
PAGE	527
H3	Una lámpara de manteca de oro
P	◇◇ <b>,</b> <i>mágico</i><b>,</b> <i>hermoso</i><b>,</b> <i>alcance</i><b>,</b> <i>área</i>
P	Una lámpara enorme y muy decorada, con forma de cáliz de copa ancha, como las lámparas que usan en el norte para quemar manteca de mamut en sus rituales.
P	Vale una fortuna (Valor 4), pero esta lámpara esconde más de lo que parece. Para desentrañar sus secretos, debes...
C	… consultar a un discípulo de los Señores de la Escarcha (Rime Lords) (o uno de sus tesoros de saber) para aprender la receta y el mantra que hacen funcionar la lámpara.
C	… conseguir los ingredientes especiales para la manteca de mamut clarificada que se quema en la lámpara (Valor 1).
C	… arriesgarte a atraer la atención de uno o más espectros la primera vez que enciendas la lámpara y pronuncies el conjuro.
H3	Luz Reveladora
P	Cuando <b><i>pasas un día preparando los</i></b> <b><i>ingredientes especiales</i></b> (Valor 1) <b><i>según la</i></b> <b><i>receta secreta</i></b>, creas un tarro ◇ de manteca mágica (◇◇◇
P	◇◇ horas).
P	Cuando <b><i>enciendes la lámpara con la manteca mágica</i></b> <b><i>y entonas el mantra</i></b>, la lámpara desprende una luz pálida y sin calor mientras sigas salmodiando.
P	Dentro de esta luz:
B	Los espíritus activos son visibles, aunque no se hayan manifestado
B	Las ilusiones, los hechizos de apariencia y los velos se desvanecen
B	Los cambiaformas se ven como lo que realmente son
B	Las cosas ocultas irradian un aura brillante
B	Las mentiras pronunciadas se ven como un humo negro que persiste a ras de suelo Por desgracia, la luz atrae la ira de cualquier espectro (u otros espíritus no muertos hambrientos) que haya cerca.
P	40
