# minor-little-friend · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 963540651b9069effa3df1ed142b9cabdf3c50bce714dc67b0e7907f4cfc148a
# title: Pequeño Amigo
# nav_label: Pequeño Amigo
# description: Pequeño Amigo (Little Friend), arcano menor de Stonetop: un pergamino de meditación que te enseña a crear un tulpa, un diminuto espíritu familiar que te sirve como seguidor.
PAGE	527
H3	Un hermoso pergamino
P	◇, <i>hermoso</i>, <i>frágil</i>
P	Dentro de un estuche de marfil tallado descansa un pergamino hecho de una lana fina, casi como una gasa. Está lleno de glifos y diagramas, estampados con ricos tintes rojos, negros y amarillos. Los diagramas parecen representar algún tipo de práctica meditativa cuyo resultado es… ¿una especie de espíritu familiar?
P	Para desentrañar los misterios de este pergamino, debes…
C	… tener cierto talento para la magia.
C	… descifrar los glifos de los Señores de la Escarcha (Rime Lords).
C	… pasar unos meses practicando las técnicas meditativas que describe.
C	… describir y nombrar el diminuto espíritu-constructo que deseas crear:
C	… sacrificar de forma permanente 2 HP para infundir «vida» al tulpa.
H3	Pequeño Amigo
P	Has creado un tulpa, al que tratas como un seguidor. Elige 2 etiquetas adicionales, un instinto, 2 movimientos adicionales y su coste.
ICON	icons/arcana.svg
H3	Tulpa
P	<i>Espíritu, constructo, diminuto, ingenuo, entusiasta</i>
C	<i>fiero amable astuto tímido obstinado</i>
P	<b>HP</b> 8; <b>Armadura</b> 0
P	<b>Daño</b> 1d4 (como mucho)
P	<b>Instinto</b> jugar aprender lucirse
P	• Manifestar una forma de polvo/nieve/vapor
P	• Producir luz (<i>área</i>, <i>alcance</i>)
P	• Llevar/manipular un objeto ◇
P	• Entregar un mensaje
P	• Espiar a alguien/algo
P	<b>Coste</b> respeto recibido nuevas experiencias
C	consuelo/compasión (Lealtad: ◇◇◇ )
P	<b>HP</b>
P	Empieza en 8
