# minor-preserving-runes · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: f26f9cb27369d3bec8856f18ffaa88e916cdcb2ef087c1b006fe580f0e442458
# title: As Runas da Preservação
# nav_label: As Runas da Preservação
# description: As Runas da Preservação (Preserving Runes), arcano menor de Stonetop: runas de uma câmara intocada pelo tempo que guardam o conteúdo de um cômodo ou recipiente do apodrecimento.
PAGE	518
H3	Uma câmara fora do tempo
P	<i>mágica</i>
P	No alto dos morros ou das montanhas, um par de enormes portas de pedra está encravado na encosta. As marcas do lado de fora estão desbotadas e cobertas de liquens. As portas não estão trancadas; uma está um pouco entreaberta. Lá dentro, a câmara e seu conteúdo estão intocados pelo tempo, sem poeira nem mofo. Claramente há magia em jogo.
P	Para desvendar os segredos da estase deste lugar…
C	… encontre e revele as runas ocultas que ancoram a magia.
C	… passe algumas horas copiando-as, arriscando um erro.
C	… passe semanas traçando as runas em objetos, até elas reluzirem prateadas e sumirem.
H3	As Runas da Preservação
P	Quando você <b><i>traça as runas pelo interior de um</i></b> <b><i>cômodo ou recipiente</i></b>, elas reluzem prateadas e somem, preservando o conteúdo de poeira, deterioração, ferrugem etc. Perca 1 HP, mais 1 HP para cada um dos seguintes que for verdade:
B	O recipiente/cômodo tem mais de um metro em qualquer dimensão
B	O recipiente é portátil (caso contrário, o efeito acaba se ele for movido)
B	O efeito dura indefinidamente, enquanto as runas estiverem intactas (caso contrário, começa quando o cômodo/recipiente é selado e acaba quando é aberto)
P	Assim que as runas estiverem no lugar, role +CON: <b>com</b> <b>10+</b>, você recupera normalmente os HP perdidos; <b>com 7-9</b>, não pode recuperar os HP perdidos até passar uma estação <i>ou</i> o efeito acabar, o que vier primeiro; <b>com 6-</b>, não pode recuperar os HP perdidos até o efeito acabar
P	e depois passar uma estação (e não marque XP).
