# minor-the-six-locks-of-sajua · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: c055199618a593b8fdfd5acd1ca7a0eb0c42c1f3ef26f1a44ef2373d20511ee1
# title: 萨尤亚的六锁
# nav_label: 萨尤亚的六锁
# description: 萨尤亚的六锁（The Six Locks of Sajua），石顶小秘宝：一串锈锁，可把垂死者的灵魂关进去，再以诺言放出。
PAGE	515
H3	一串锈锁
P	◇，<i>魔法</i>
P	一条链，六个环节，每环挂着一把锈蚀的青铜挂锁。1d4+1把锁带着风格化的脸，冻在锈蚀的苦相里。这些锁的钥匙已失落于岁月。
P	当你<b><i>握住一把饰脸的锁并</i></b> <b><i>看进它的眼睛</i></b>时，你可以听见缚在其中的逝者灵魂的声音：憎恨、绝望、恳求被释放。
P	你可以通过……掌握这些锁
C	……说服其中一个残影揭示它是如何被俘的。
C	……说服一个残影揭示锁被打开时会发生什么。
C	……找到打开这些锁的办法。
H3	萨尤亚的六锁
P	扰动：◇◇◇◇◇◇◇
P	当你<b><i>把垂死者的血抹在一把</i></b> <b><i>打开的萨尤亚之锁上然后关上锁</i></b>时，掷
P	+CON：<b>10+</b>，他们的灵魂被缚在锁里；
P	<b>7-9</b>，他们的灵魂被缚住，但你在场的所有凡俗金属都会生锈或失去光泽，腐蚀并变弱。
P	当你<b><i>从一个被缚灵魂处取得诺言</i></b>
P	<b><i>然后打开缚着它的锁</i></b>时，这灵魂被迫履行诺言的字面，然后走自己的路。告诉GM把它当作鬼魂（尽管不一定当作追随者）；打开的锁至少暂时作为它的系绳。
P	每次你释放一个灵魂，标记1点扰动并掷1d6。若点数低于你的扰动，你会在远处听见苍白猎手的呼唤。等着不久来访吧。
P	16
