# minor-the-green-lords-shade · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: 緑の君の影
# nav_label: 緑の君の影
# description: 古代の知識を語る緑の君のシェイドが宿る角ある頭蓋、小アルカナム（The Green Lord's Shade）。
PAGE	520
H3	奇妙な頭蓋と枝角
P	<i>動かせない、魔法</i>
P	馬の頭ほどの大きさの頭蓋だが、明らかに馬ではない——竜でも、狼でも、熊でもない。それらのどの獣も、この頭蓋についているほど見事な枝角を持つことはないのだから。
P	よく見ると、骨に刻まれた古代の象形文字の渦巻きやねじれが見える。そのそばにいる者はしばしば隙間風を感じる。誰かが扉を半開きにしたままにしたかのように。
P	この遺物の秘密を解き明かすには、あなたは……
C	……この頭蓋の持ち主だったシェイドの名を知らねばならない。あるいは……
C	……祝福されし者の「精霊を呼ぶ」ムーブを使ってシェイドを呼び出す。
H3	緑の君の影
P	<b><i>上等な酒、新鮮な果物、焼きたての肉を</i></b><b><i>供え、頭蓋の</i></b><b><i>シェイドを呼び出す</i></b>とき、それは影の中であなたの前に姿を現す。
P	シェイドは古の時代、緑の君（Green Lords）、そして彼らの業について多くを知っている。力は持たないが、質問に答えることはできる。答える前に、シェイドはあなたに「乗り移り」、生きる喜びを味わう権利を要求する。（<b>本能</b> ますます具体的になっていく渇望を満たす。）
P	あなたに乗り移っている間、シェイドは衝動と欲望を通してのみ意思を伝える。<b><i>シェイドがあなたの望みに反して行動するよう</i></b><b><i>強いた</i></b>とき、従うならXPをマークする。抗うなら、あなたは危険に抗っている。
