# minor-searing-touch · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 6ff10a7fbd24388b2cf3da9b2247407f4468aa76763f25ba3405a85dc02c0869
# title: O Toque Escaldante
# nav_label: O Toque Escaldante
# description: O Toque Escaldante (Searing Touch), arcano menor de Stonetop: um ferro de marcar rúnico que grava o fogo na sua alma e faz suas mãos arderem como ferro em brasa.
PAGE	534
H3	Um ferro de marcar rúnico
P	◇, <i>mágica</i>
P	Encontrado na oficina de algum Senhor da Forja, ainda preso num torno. A cabeça tem um formato rúnico,
P	de 15 por 15 centímetros, com runas menores gravadas na superfície. Ou pelo menos na maior parte dela. Alguns centímetros estão em branco, o trabalho claramente inacabado.
P	Para desvendar os mistérios deste ferro e reivindicar seu poder como seu, você precisa...
C	… decifrar o significado das runas e identificar as que faltam.
C	… terminar as gravações, arriscando um erro que fará o passo seguinte fracassar.
C	… aquecer o ferro em brasa e deixar-se marcar (perca 3d6 HP), com as runas sumindo do ferro e se gravando a fogo na sua alma.
C	… deixar o ferimento sarar e cicatrizar, sem a ajuda de magia alguma.
H3	O Toque Escaldante
P	Quando você <b><i>invoca o fogo da sua alma e</i></b> <b><i>o derrama nas suas mãos</i></b>, role +CON: <b>com 7+</b>, suas mãos ardem como ferro em brasa (veja abaixo); <b>mas</b> <b>com 10+</b>, primeiro escolha 1; <b>e com 7-9</b>, primeiro escolha 2:
B	Leva minutos de concentração intensa
B	Queima sua força vital; perca 2d4 HP
B	A dor é terrível; marque uma debilidade
P	<b>Com 6-</b>, o que mais o mestre disser, você não pode fazer isso de novo até Convalescer.
P	Enquanto suas <b><i>mãos estiverem em brasa</i></b>, seu toque causa 1d10 de dano (<i>mão</i>, <i>sujo</i>, <i>perigosa</i>, 1 perfurante), põe fogo em madeira, ferve água, aquece metal. Suas mãos não sofrem com o calor, mas seu equipamento e o resto do seu corpo não têm essa proteção.
P	Tome cuidado.
P	Suas mãos ardem enquanto você mantiver a concentração, até um minuto ou talvez dois.
