# minor-satchel-of-plenty · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: e2172e177076742f0754408e4040206b59916ac2710cf91f6947d8ae11852316
# title: Besace d'abondance
# nav_label: Besace d'abondance
# description: La Besace d'abondance (Satchel of Plenty), arcane mineur de Stonetop : une besace perlée abritant des esprits d'automne qui, une fois amadoués, fournissent des provisions chaque jour.
PAGE	522
H3	Une besace perlée
P	◇, <i>magique</i>
P	Faite d'un cuir épais et rigide, décorée d'un perlage d'une finesse impossible. Le motif montre un arbre chargé de fruits abritant divers gibiers, produits et grains. Les détails changent souvent quand tu ne regardes pas.
P	La besace abrite un certain nombre d'esprits d'automne et d'abondance. Pour percer les secrets de la besace et gagner l'aide des esprits, tu dois…
C	… ingurgiter une quantité d'alcool prodigieuse et dangereuse.
C	… tout en étant profondément saoul, communier avec les esprits liés (<b>Instinct</b> pour te montrer sincèrement et maladroitement attentionné et généreux) et gagner leur amitié.
C	… nourrir la besace avec 1 Surplus de denrées fraîchement récoltées (qui ne devrait normalement pas y tenir, mais y tient).
H3	Besace d'abondance
P	Quand tu <b><i>nourris la besace avec 1 Surplus de</i></b> <b><i>denrées fraîchement récoltées</i></b>, elles y tiennent, même si ça ne devrait pas être possible. Jusqu'à la prochaine récolte d'automne, la besace fournira 1 utilisation de provisions chaque jour. Elles sont fraîches et nourrissantes, mais différentes à chaque fois (et rien à voir avec ce dont tu as nourri la besace).
P	<b>1d6</b> la nourriture du jour est...
P	1 Franchement désagréable, doit être cuisinée
P	2 Fade mais tolérable, doit être cuisinée
P	3 Délicieuse, doit être cuisinée
P	4 Franchement désagréable, prête à manger
P	5 Fade mais tolérable, prête à manger
P	6 Délicieuse, prête à manger
P	Quand tu <b><i>tires plus d'1 utilisation de provisions</i></b> <b><i>de la besace en une même journée</i></b>, elle en fournit jusqu'à 10 utilisations, mais n'en produira plus tant que tu ne l'auras pas nourrie de nouveau l'automne suivant.
