# minor-fetchs-mask · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 566d48f52a56fa1adc910531afb21c47654fba3f9188395f841cc6d6af9ed4ab
# title: A Máscara do Duplo
# nav_label: A Máscara do Duplo
# description: A Máscara do Duplo (Fetch's Mask), arcano menor de Stonetop: uma máscara sussurrante que transforma quem a veste no duplo perfeito de outra pessoa — a um preço doloroso.
PAGE	529
H3	Uma máscara perturbadora
P	◇ se guardada; <i>mágica</i> Esta máscara rígida e coriácea parece um pouco cera derretida. Uma grande esfera perolada está encravada na testa. Ela parece sussurrar quando você vai colocá-la.
P	Há mais nesta máscara do que se vê. Para desvendar seus segredos, você precisa…
C	… vestir a máscara sozinho e usá-la sem ser visto por uma noite e um dia.
C	… observar alguém sem ser notado por algumas horas, enquanto usa a máscara.
C	… contar um segredo à máscara, algo que mais ninguém sabe sobre você (conte ao mestre e aos outros jogadores qual é).
C	… contar à máscara o segredo de outra pessoa, algo que você prometeu nunca contar (conte ao mestre e aos outros jogadores qual é).
H3	A Máscara do Duplo
P	Sagacidade ◇◇◇
P	Quando você <b><i>veste a máscara e come um fio de cabelo, sangue,</i></b> <b><i>unha etc. de alguém</i></b>, você e a máscara se tornam o duplo perfeito dessa pessoa até o próximo nascer do sol ou até você tirar a máscara.
P	Quando você <b><i>interage com um NPC que conhece</i></b> <b><i>a pessoa cujo rosto você usa</i></b>, role +CAR: <b>com 10+</b>, guarde 3 de Sagacidade; <b>com 7-9</b>, guarde 1 de Sagacidade; <b>com 6-</b>, ele fica profundamente desconfiado. Enquanto interage com ele, gaste Sagacidade, 1 por 1, para perguntar ao mestre:
B	O que ele espera que eu faça/diga?
B	O que ele espera/quer de mim?
B	Que segredo eu guardo dele?
P	Quando você <b><i>tira a máscara depois de usar</i></b> <b><i>o rosto de alguém</i></b>, role +CON: <b>com 10+</b>, dói, mas ela sai bem; <b>com 7-9</b>, seu rosto fica em carne viva e dolorido, marque uma debilidade; <b>com 6-</b>, perca 1d4 HP, marque uma debilidade, e a máscara deixa cicatrizes duradouras e marcantes.
