# minor-aalz-galts-sudden-sinkhole · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: dddc9f4550d97dfde91eebf12358fa1c8a3b03733d52254767714604a256eeb2
# title: 阿尔兹·加尔特的骤陷坑
# nav_label: 阿尔兹·加尔特的骤陷坑
# description: 阿尔兹·加尔特的骤陷坑（Aalz Galt's Sudden Sinkhole），石顶小秘宝：一声低沉的歌让地表下的土石溃散，留下一口随时会塌的空穴。
PAGE	509
H3	巨人宿舍
P	<i>魔法</i>
P	石领主的一处废墟里，有一间旧居，还带着住客的心灵印记：一位技艺相当了得的塑石者。
P	当你<b><i>走进宿舍</i></b>时，你会陷入一段异象，看见这名学徒发明他的第一道法术。你可以学会这道法术，但是……
C	……你必须对魔法有些天赋。
C	……这需要数周反复接触与研习。
C	……你有对体格与健康造成持久伤害的风险。
H3	阿尔兹·加尔特的骤陷坑
P	当你<b><i>唱出一个隆隆的音符，并把意志</i></b> <b><i>集中在一点土或石上</i></b>时，标记一项衰弱并掷 +INT：
P	<b>10+</b>，你所专注的那层土或石仍保持完整，但其下的土石崩解、溶化、流走，留下一个大约双臂合围那么宽、大约你身高那么深的空穴。表面看起来稳固，但受力时容易开裂或塌陷。
P	<b>7-9</b>，歌如上述奏效，但它从你体内抽走更多能量。再标记一项衰弱，并承受2d4伤害（忽略护甲）。
P	4
