# minor-laoj-daveths-galvanic-infusion · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 19d905a17a1c6cdd4e449b0b3c9cfe444a196b16783503f90a520f79a999d42d
# title: 劳杰·达维斯的电流灌注
# nav_label: 劳杰·达维斯的电流灌注
# description: 劳杰·达维斯的电流灌注（Laoj Daveth's Galvanic Infusion），石顶小秘宝：一种把以太矿之力吸入体内的心智练习——事后要付代价。
PAGE	508
H3	一只旧卷轴筒
P	◇，<i>易碎</i>
P	一只皮制卷轴筒，开裂、岁月磨损。
P	里面是一封破烂的信和两块小小的淡蓝色锭。那是一封信，用较古的丘陵之民方言，从一名学徒写给他们的师父。它描述一种从以太矿中引出潜藏力量的心智练习。
P	你可以从卷轴学会<b>劳杰·达维斯的电流灌注</b>，但是……
C	……你必须把信念出来。
C	……这需要几周专心研习。
C	……你会用掉其中一块以太矿锭（或其他以太矿来源）。
C	……你有触电和/或用掉另一块锭的风险。
H3	劳杰·达维斯的电流灌注
P	当你<b><i>触摸一块以太矿并</i></b> <b><i>将其力量吸入自身</i></b>时，掷 +CON：<b>7+</b>，你吸收力量并获得1d8 HP（即便这使你超过最大HP）；<b>但7-9时</b>，以太矿被抽干，碎成一团粉绿色的铜绿。
P	法术持续到你解散它，或直到你在任何行动上掷出6-。持续期间，你无需睡眠，并保持高度警觉与专注——所有WIS掷骰获得优势。
P	如果你连续几天不睡，身体会越来越疲惫，你有幻觉、偏执与成瘾的风险。
P	当<b><i>法术结束，</i></b>你失去1d8 HP。
