# minor-preserving-runes · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: f26f9cb27369d3bec8856f18ffaa88e916cdcb2ef087c1b006fe580f0e442458
# title: Runy Zachowania
# nav_label: Runy Zachowania
# description: Runy Zachowania (Preserving Runes), mniejsze arkanum ze Stonetop: runy z ponadczasowej krypty, które chronią zawartość przed kurzem, zepsuciem i rdzą.
PAGE	518
H3	Ponadczasowa krypta
P	<i>magiczne</i>
P	Wysoko wśród wzgórz lub gór w zbocze wpuszczone są potężne dwuskrzydłowe kamienne drzwi. Znaki na zewnątrz są wyblakłe i porośnięte porostami. Drzwi nie są zamknięte na klucz; jedno skrzydło jest lekko uchylone. Wewnątrz krypta i jej zawartość są nietknięte przez czas, wolne od kurzu i pleśni. Najwyraźniej działa tu jakaś magia.
P	By odkryć sekrety bezczasu tego miejsca…
C	… odnajdź i odsłoń ukryte runy, które kotwiczą magię.
C	… spędź kilka godzin na ich przepisywaniu, ryzykując błąd.
C	… spędź tygodnie na kreśleniu run na przedmiotach, aż zalśnią srebrem i znikną.
H3	Runy Zachowania
P	Gdy <b><i>kreślisz runy po wewnętrznej stronie</i></b> <b><i>pomieszczenia lub pojemnika</i></b>, lśnią srebrem i blakną, chroniąc zawartość przed kurzem, zepsuciem, rdzą itd. Trać 1 HP oraz po 1 HP za każde z poniższych, które jest prawdą:
B	Pojemnik/pomieszczenie ma w którymś wymiarze więcej niż metr czy dwa
B	Pojemnik jest przenośny (w przeciwnym razie efekt ustaje, gdy zostanie poruszony)
B	Efekt trwa bezterminowo, dopóki runy są nienaruszone (w przeciwnym razie zaczyna się, gdy pomieszczenie/pojemnik zostanie zamknięte, a kończy, gdy zostanie otwarte)
P	Gdy runy są już na miejscu, rzuć +CON: <b>przy</b> <b>10+</b> odzyskujesz utracone HP normalnie; <b>przy 7-9</b> nie możesz odzyskać utraconych HP, dopóki nie minie pora roku <i>albo</i> nie ustanie efekt, cokolwiek nastąpi pierwsze; <b>przy 6-</b> nie możesz odzyskać utraconych HP, dopóki nie ustanie efekt
P	i potem nie minie pora roku (i nie zaznaczaj XP).
