# minor-plaster-of-joining · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: Tynk Złączenia
# nav_label: Tynk Złączenia
# description: Tynk Złączenia (Plaster of Joining), mniejsze arkanum ze Stonetop: piękna ceramiczna urna, której tynk bez śladu spaja ze sobą kamień, skałę i kryształ.
PAGE	526
H3	Piękna ceramiczna urna
P	◇ <b>,</b> <i>piękna</i><b>,</b> <i>krucha</i><b>,</b> <i>magiczna</i>
P	Naczynie z delikatnej ceramiki, wielkości małego garnka.
P	Jego glazura to cudowna mieszanina wzorów i połysków. Wieko pasuje ciasno, choć trudno się nim posługiwać, a raz zamknięte niełatwo otworzyć.
P	Masz wrażenie, że zrobiono je dla znacznie większych dłoni niż twoje.
P	By odkryć sekrety urny, musisz...
C	… porozumieć się z chtonicznym duchem, który w niej mieszka (<b>Instynkt</b> gromadzić sekrety).
C	… przekonać go, by nauczył cię zarówno tajnej receptury, jak i pieśni potrzebnych, by jego magia zadziałała.
C	… zdobyć odczynniki potrzebne do receptury (Wartość 1).
C	… zdołać śpiewać tajną pieśń przez dzień i noc, bez przerwy.
H3	Tynk Złączenia
P	Użycia ◇◇◇
P	Gdy <b><i>wlewasz do urny wodę, szczyptę krwi i specjalne odczynniki (Wartość 1) i śpiewasz nad</i></b> <b><i>nią przez cały dzień i noc</i></b>, urna zyskuje 1 użycie (maks. 3 użycia) tynku.
P	Gdy <b><i>używasz tynku, by połączyć dwa lub więcej kawałków</i></b> <b><i>kamienia, skały lub kryształu</i></b>, i pozwalasz mu wiązać przez kilka godzin, kawałki stapiają się ze sobą. Różne materiały będą miały naturalny, stopniowo przechodzący szew.
P	Podobne materiały stopią się bez śladu.
P	Jedno użycie tynku pokrywa obszar szeroki i wysoki na kilka centymetrów. Kilka użyć pozwala połączyć większe bryły kamienia. Niewykorzystany tynk zachowa się bez końca, dopóki urna pozostaje szczelnie zamknięta.
