# minor-bittersweet-elixir · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 60519a0c208ea62461d8f088dc2ea8dc1c8d169feb96dfee0aa0940b25c62025
# title: 苦甜灵药
# nav_label: 苦甜灵药
# description: 苦甜灵药（Bittersweet Elixir），石顶小秘宝：一只红木盆，用你生命中的几年换一剂蜂蜜与悔恨。
PAGE	537
H3	一只红木盆
P	◇◇，<i>魔法，美丽</i>
P	一只宽浅的碗，雕着花卉与带刺的藤，缠过鹿与其他野兽的头骨。你不看时花纹会变；它从来不会两次完全一样。
P	要解开这只盆的奥秘，你必须……
C	……与住在其中的生命与活力之精魂结交。
C	……向一名妖精学习如何把你生命中的几年倒进盆里。
C	……用你生命中的几年装满这只盆。
P	当你<b><i>标记最后一项条件并解开</i></b> <b><i>这件秘宝</i></b>时，在另一面记下你当前的年龄。然后触发苦甜灵药行动。
H3	苦甜灵药
P	◇ 青春，◇ 壮年，◇ 年迈
P	当你<b><i>用你生命中的几年装满这只盆</i></b> <b><i></i></b>时，它变成一剂蜂蜜与悔恨。
P	要么标记上一档年龄（并更新你的外貌），因为失去的岁月追上了你，要么标记下列之一（由你选）：
C	你的心情剧烈转变（怎样？）
C	你看见最后之门（它是什么样？）
C	力量、敏捷或体质降低1
C	你剩下不到一年可活
P	当有人<b><i>直接从盆中喝尽全部苦甜灵药</i></b>时，他们选1项：
B	回复全部HP，清除所有衰弱，并愈合任何当前的麻烦伤口
B	清除体内所有毒素/疾病
B	在下一季结束前（或更早）从一处永久伤残中完全恢复
