# minor-fear-of-the-flame · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: e0036e18eab23510943f7e73c7b546369103b85f2ec11ba048a03f9b327a176e
# title: O Medo da Chama
# nav_label: O Medo da Chama
# description: O Medo da Chama (Fear of the Flame), arcano menor de Stonetop: um tapete tecido com runas de fogo que desperta nos outros o terror primordial das chamas.
PAGE	512
H3	Um tapete ricamente tecido
P	◇◇, <i>mágica</i>
P	Cerca de 1,2 por 2 metros quando desenrolado, tecido com padrões estilizados de fogo e chama. Runas tremeluzentes dos Construtores podem ser vistas no tecido, sempre fora de foco, mas sugerindo poder.
P	Você pode desvendar os segredos deste tapete, mas primeiro precisa…
C	… ser marcado pelo fogo, perdendo-se no pânico ou na dor de queimar.
C	… depois, passar semanas meditando sobre o tapete e estudando as runas agora nítidas.
C	… deixar-se queimar por uma chama terrível, recusando-se a gritar e dominando o medo.
H3	O Medo da Chama
P	Calor: ◇◇◇◇◇◇
P	Quando você <b><i>passa cerca de uma hora sobre o tapete, meditando sobre o medo do fogo que todas as coisas naturais</i></b> <b><i>têm</i></b>, você guarda Terror e marca 1 de Calor.
P	◇ <b>Terror</b>: Quando você <b><i>libera o Terror</i></b> <b><i>que guarda</i></b>, todos que o veem o temem como temeriam a chama primordial, até você dispensar o efeito.
P	Quando você <b><i>dispensa o efeito</i></b>, role 1d6. Se o resultado for menor que seu Calor, limpe todo o seu Calor e você manifesta dolorosamente um sinal permanente da sua ligação com as chamas: uma cicatriz de bolhas, pele avermelhada, olhos brilhantes, cheiro de enxofre etc.
P	Quando <b><i>passar uma estação sem você liberar</i></b> <b><i>o Terror</i></b>, reduza seu Calor em 1.
