# minor-the-eye-opened · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 0e13cd32e023a62ae38aa24b277b9f070ae4f81362a07bbb0531811102862835
# title: 开眼
# nav_label: 开眼
# description: 开眼（The Eye, Opened），石顶小秘宝：一把概念般的白钥匙，打开你额上的心灵之眼。
PAGE	519
H3	一把……钥匙？
P	<i>魔法</i>，<i>骇人</i>
P	藏在某座匠造者宝藏里的一件闪亮白物，像一把钥匙，我猜，但不是某一把具体的钥匙，更像钥匙<i>性</i>的理念。直视它会痛；让你意识到自己正在死去的血肉。
P	与其说你解开这把钥匙的奥秘，不如说它解开你。但只有当你……
C	……战胜恐惧，强迫自己去触摸它。
C	……在它摧残你的心智与灵魂时抓紧，拒绝松手。
C	……花几周应付可怕的偏头痛与色块闪现，学会平静并控制你心智的新眼。
H3	开眼
P	当你<b><i>花几分钟安静冥想并打开心灵之眼</i></b>时，它作为一点闪耀的光出现在你额上。对你而言，凡俗物质与能量暗淡无色，但你能看见心智与光晕的发光细节。
P	当你的<b><i>心灵之眼睁开</i></b>时，你可以问GM“此处有哪些能思考的存在？”
P	并得到诚实的回答。
P	当你<b><i>在心灵之眼睁开时</i></b> <b><i>寻求洞见</i></b>时，你可以问的问题变成这些：
B	他们是否在说谎或试图误导？
B	他们此刻真正的感受是什么？
B	他们打算做什么？
B	此处他们最害怕的是什么？
B	是否有什么在控制他们的心智、情绪或行动，若有，是什么？
P	24
