# minor-little-friend · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 963540651b9069effa3df1ed142b9cabdf3c50bce714dc67b0e7907f4cfc148a
# title: Petit Ami
# nav_label: Petit Ami
# description: Arcane mineur : un parchemin enchanté qui permet de créer un tulpa, un esprit-suivant miniature.
PAGE	527
H3	Un magnifique parchemin
P	◇, <i>magnifique</i>, <i>fragile</i>
P	À l'intérieur d'un étui d'ivoire sculpté repose un parchemin de laine fine, presque vaporeuse. Il est couvert de glyphes et de diagrammes, imprimés de teintures riches en rouge, noir et jaune. Les diagrammes semblent représenter une sorte de pratique méditative, aboutissant à une forme d'esprit familier ?
P	Pour percer les mystères de ce parchemin, tu dois…
C	… avoir un certain talent pour la magie.
C	… déchiffrer les glyphes des Seigneurs du Givre.
C	… passer quelques mois à pratiquer les techniques méditatives qu'il décrit.
C	… décrire et nommer le minuscule esprit-artefact que tu souhaites créer :
C	… sacrifier de façon permanente 2 HP pour insuffler la « vie » au tulpa.
H3	Petit Ami
P	Tu as créé un tulpa, que tu traites comme un suivant. Choisis 2 étiquettes supplémentaires, un instinct, 2 manœuvres supplémentaires, et son prix.
ICON	icons/arcana.svg
H3	Tulpa
P	<i>Esprit, artefact, minuscule, naïf, empressé</i>
C	<i>féroce gentil rusé craintif volontaire</i>
P	<b>HP</b> 8 ; <b>Armure</b> 0
P	<b>Dégâts</b> 1d4 (à peine)
P	<b>Instinct</b> jouer apprendre exhiber
P	• Manifester une forme de poussière/neige/vapeur
P	• Produire de la lumière (<i>zone</i>, <i>allonge</i>)
P	• Porter/manipuler un ◇ objet
P	• Livrer un message
P	• Espionner quelqu'un/quelque chose
P	<b>Prix</b> respect nouvelles expériences accordées
C	confort/compassion (Loyauté : ◇◇◇ )
P	<b>HP</b>
P	Commence à 8
