# minor-the-sylvan-web · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 05a21a27404d023df7eb72c2411d0eabb7e03d4c727e119c5abd6a2e0f4aeeb7
# title: 林间之网
# nav_label: 林间之网
# description: 林间之网（The Sylvan Web），石顶小秘宝：大森林中一片彩虹苔，让你把心智投入林中去寻物。
PAGE	521
H3	一片彩虹苔
P	<i>魔法</i>
P	在大森林里，可以找到一片许多不同树种的小林，冠下光线昏暗，地面因交织的根而疙疙瘩瘩。中央：一片厚实、多色的苔。
P	要解开此地的奥秘，你必须……
C	……躺在苔上，让它的触须与你的皮肤融合。
C	……让意识漂进森林本身，有迷失自己或招来敌对精魂怒火的风险。
C	……花数周造访这片苔，让心智漂流，学会通过森林的感官感知世界。
H3	林间之网
P	当你<b><i>躺在彩虹苔上，把心智</i></b> <b><i>投入大森林</i></b>时，说出你在找什么并掷 +WIS：<b>10+</b>，选3项；<b>7-9</b> <b></b>，选1项。
B	你得知猎物的位置
B	你得到猎物近期活动、或围绕它的活动的感觉
B	你发现关于森林或其中可找到之物的意外之事（问GM你得知了什么）
B	你只漂流大约一小时（否则，你花上一整天）
P	无论你得知什么，都受限于并经过森林感官的过滤。
P	28
