# minor-the-sylvan-web · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 05a21a27404d023df7eb72c2411d0eabb7e03d4c727e119c5abd6a2e0f4aeeb7
# title: A Teia Silvestre
# nav_label: A Teia Silvestre
# description: A Teia Silvestre (The Sylvan Web), arcano menor de Stonetop: um musgo multicolorido na Grande Mata que deixa sua mente vagar pelos sentidos da floresta.
PAGE	521
H3	Um trecho de musgo arco-íris
P	<i>mágica</i>
P	Na Grande Mata, dá para encontrar um bosque de muitas espécies diferentes de árvore, com a luz fraca sob a copa e o chão cheio de saliências de raízes entrelaçadas. No centro: um trecho de musgo espesso e multicolorido.
P	Para desvendar os mistérios deste lugar, você precisa…
C	… deitar-se no musgo e deixar os filamentos dele se fundirem à sua pele.
C	… deixar sua consciência vagar para dentro da própria floresta, com o risco de se perder ou de atrair a ira de espíritos hostis.
C	… passar semanas visitando o musgo, soltando a mente, aprendendo a perceber o mundo pelos sentidos da floresta.
H3	A Teia Silvestre
P	Quando você <b><i>se deita no musgo arco-íris e lança</i></b> <b><i>sua mente na Grande Mata</i></b>, diga o que está procurando e role +WIS: <b>com 10+</b>, escolha 3; <b>com</b> <b>7-9</b>, escolha 1.
B	Você descobre a localização do que procura
B	Você tem uma noção das atividades recentes do que procura, ou do que acontece ao redor
B	Você descobre algo inesperado sobre a floresta, ou sobre o que se encontra dentro dela (pergunte ao mestre o que você descobre)
B	Você passa só uma hora mais ou menos à deriva (caso contrário, passa o dia todo)
P	Seja o que for que descubra, é limitado e filtrado pelos sentidos da floresta.
P	28
