# minor-nerth-serpents-vigor · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 60c85c852075bce9d9a4c7bc86edf064a5d2d9cd0f93099ba53bfb54b15d94e4
# title: Kraft der Nerthschlange
# nav_label: Kraft der Nerthschlange
# description: Kraft der Nerthschlange (Nerth Serpent's Vigor), ein kleines Arkanum aus Stonetop: ein Pfad durch den Großen Wald zum Baum von Nerth, wo das Herz einer seltsamen Schlange dir wilde Lebenskraft schenkt.
PAGE	516
H3	Ein Pfad im Wald
P	Tief im Großen Wald (Great Wood) steht ein Stein, beschnitzt mit den groben Piktogrammen des Waldvolks (Forest Folk), die einen Pfad voller Prüfungen zeigen, der zu großer Macht führt.
P	Wenn du <b><i>dich zur Sommersonnenwende auf den Pfad begibst,</i></b> kannst du seine Geheimnisse entschlüsseln, aber du musst …
C	… den gewundenen Pfaden schweigend folgen, bis du den Weißen Hirsch erspähst.
C	… den Hirsch viele, viele Kilometer weit jagen, bis er dich zum Baum von Nerth führt.
C	… mit der seltsamen Schlange ringen, die im Baum lebt (<i>Buch II</i>, Seite 371), ihr das Leben aus dem Leib pressen und ihr noch warmes Herz essen.
P	Folgen mehrere Personen dem Pfad zur selben Sommersonnenwende, kann nur eine von ihnen den Baum von Nerth erreichen.
H3	Kraft der Nerthschlange
P	Lebenskraft: ◇◇◇
P	Wenn du <b><i>der Nerthschlange das Leben aus dem Leib presst</i></b> <b><i>und ihr noch warmes Herz verschlingst</i></b>, halte 3 Lebenskraft.
P	Solange du Lebenskraft hältst, alterst du nur sehr langsam.
P	Gib Lebenskraft 1 zu 1 aus, um:
B	Ein Gift, eine Krankheit oder einen Fluch abzuschütteln
B	Eine tödliche Wunde oder Verletzung zu überleben
B	Dich vollständig von einer dauerhaften Verletzung oder Beeinträchtigung zu erholen (mit ein paar Tagen Ruhe)
B	Eine Tat außergewöhnlicher Stärke, Geschicklichkeit oder Ausdauer zu vollbringen
P	Jedes Mal, wenn du Lebenskraft ausgibst, zeigt sich an dir ein dauerhaftes Mal der Wildnis (Geweih, fellartige Haut, Tieraugen usw.), oder ein solches Mal tritt deutlicher hervor. Erzähl uns, was es ist.
