# minor-groundskimmer · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 9c7a664ddb726cc31d443a9a2dac8e99e10a0570c9fa11faab08631e1e96fcac
# title: Rase-sol
# nav_label: Rase-sol
# description: Rase-sol (Groundskimmer), arcane mineur : un étrange esquif d'éthérium fait de deux canoës liés, qui plane au-dessus du sol.
PAGE	532
H3	Un étrange moyen de transport
P	<i>grand, magique, fragile</i>
P	C'est comme deux de ces canoës qu'on utilise à Bordemarais (Marshedge), mais en plus grand et avec de grandes nageoires à l'arrière.
P	Ils sont reliés par des poutres et une plate-forme posée dessus. Un des canoës porte une haute flèche, brisée en deux, un triangle de tissu déchiré encore accroché. Une grande partie du bois est pourrie. Les canoës sont cerclés d'éthérium, lestés de pierres.
P	Tu soupçonnes qu'il s'agit d'une sorte de véhicule, mais pour percer ses mystères, tu dois…
C	… trouver un charpentier habile, du bon bois (Valeur 2), une voile neuve (Valeur 1), et passer une saison à le réparer.
C	… risquer de l'endommager davantage, et/ou de le voir, lui ou son éthérium, s'envoler.
C	… t'accorder avec l'éthérium, afin de contrôler à quel point il plane.
C	… et un autre doit passer une saison à apprendre à naviguer avec l'engin, au risque de se blesser et d'endommager l'appareil.
H3	Rase-sol
P	<i>grand, magique, dangereux,</i> requiert un équipage de 2 Le rase-sol peut transporter à peu près autant qu'un chariot chargé au maximum. Quand tu <b><i>saisis la barre</i></b> <b><i>et te concentres</i></b>, tu peux ajuster à quel point l'éthérium de l'engin repousse la terre. Quand tu <b><i>l'ajustes</i></b> <b><i>correctement à sa charge actuelle</i></b>, il plane à un mètre ou deux au-dessus du sol et peut naviguer à travers le paysage. Par bon vent et à une allure sûre, il peut couvrir la largeur des Plaines (the Flats) en ~8 heures. Naviguer contre le vent est bien plus lent, et exige une route en zigzag.
P	Le mauvais temps, la haute vitesse, voler trop haut, un terrain accidenté, esquiver des obstacles, les dégâts, les chocs et les changements brusques de charge impliquent tous de Défier le Danger (par toi, ton équipage ou tes passagers).
P	Naviguer dans le Grand Bois est impossible (trop dense). S'aventurer hors des routes dans les Terres Étagées (Steplands), les Contreforts ou les montagnes est suicidaire ; même s'en tenir aux Routes des Bâtisseurs dans ces régions est dangereux.
