# minor-plaster-of-joining · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: O Emplastro da União
# nav_label: O Emplastro da União
# description: O Emplastro da União (Plaster of Joining), arcano menor de Stonetop: uma urna de cerâmica cujo espírito ensina a fazer um emplastro que funde pedra, rocha e cristal.
PAGE	526
H3	Uma bela urna de cerâmica
P	◇ <b>,</b> <i>bela</i><b>,</b> <i>frágil</i><b>,</b> <i>mágica</i>
P	Um pote de cerâmica fina, do tamanho de uma panela pequena.
P	Seu esmalte é uma mistura maravilhosa de padrões e brilhos. A tampa encaixa justa, embora seja desajeitada de manusear e difícil de abrir depois de fechada.
P	Você tem a impressão de que foi feita para mãos bem maiores que as suas.
P	Para desvendar os segredos da urna, você precisa...
C	… entrar em comunhão com o espírito ctônico que habita nela (<b>Instinto</b> acumular segredos).
C	… convencê-lo a lhe ensinar tanto a receita secreta quanto a canção necessárias para que sua magia funcione.
C	… conseguir os reagentes exigidos pela receita (Valor 1).
C	… conseguir cantar a canção secreta por um dia e uma noite, sem pausa.
H3	O Emplastro da União
P	Usos ◇◇◇
P	Quando você <b><i>despeja água, uma pitada de sangue e reagentes especiais (Valor 1) na urna e canta sobre</i></b> <b><i>ela por um dia e uma noite inteiros</i></b>, a urna ganha 1 uso (máx. 3 usos) de emplastro.
P	Quando você <b><i>usa o emplastro para unir duas ou mais peças</i></b> <b><i>de pedra, rocha ou cristal</i></b> e deixa o emplastro secar por algumas horas, as peças se fundem. Materiais diferentes mostram uma emenda natural, em gradiente.
P	Materiais semelhantes se fundem sem emenda alguma.
P	Um único uso do emplastro cobre uma área de até alguns centímetros de largura e altura. Vários usos podem unir peças maiores de pedra. O emplastro não usado dura indefinidamente, desde que a urna permaneça selada.
